ID,latitude,longitude,name,TOPONIMO,INDIRIZZO,CIVICO,DESCRIZIONE,orari_comunicati,TELEFONO,E-MAIL,lunedimattina,lunedipomeriggio,martedimattina,martedipomeriggio,mercoledimattina,mercoledipomeriggio,giovedimattina,giovedipomeriggio,venerdimattina,venerdipomeriggio,sabatomattina,sabatopomeriggio,domenicamattina,domenicapomeriggio,h24
11,40.3585204,18.166251,"UNIVERSITA' DEL SALENTO SEDE ""EDIFICIO STUDIUM 6""",VIA,DI VALESIO,,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 08:00-18:00,,,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,,,,,
12,40.36376248,18.18076372,HOTEL HILTON,VIA,COSIMO DE GIORGI,62,POSTAZIONE CON DEFIBRILLATORE DAE,"L/D 0,00-24,00",,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
13,40.34739451,18.17378998,ISTITUTO MAGISTRALE SICILIANI,VIA,DI LEUCA,1,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 08,20-13,20",,,08:20-13:20,,08:20-13:20,,08:20-13:20,,08:20-13:20,,08:20-13:20,,08:20-13:20,,,,
14,40.35457336,18.16616178,LICEO CLASSICO PALMIERI,VIALE,DELL'UNIVERSITA',12,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,00-14,00",,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,,,
15,40.35748393,18.19732904,MUV,VIA,VITTORIO BACHELET,35,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 7,30-22,00 S9,00-18,00 D 9,00-13,00",,,07:30-13:59,14:00-22:00,07:30-13:59,14:00-22:00,07:30-13:59,14:00-22:00,07:30-13:59,14:00-22:00,07:30-13:59,14:00-22:00,09:00-13:59,14:00-18:00,09:00-13:00,,
16,40.36145714,18.16829681,PALAZZETTO DELLO SPORT MARIO STASI C.U.S. LECCE,VIA,PIETRO INDINO,20,POSTAZIONE CON DEFIBRILLATORE DAE,L/S 9.00-12.00 16.00-20.00,,,09:00-12:00,16:00-20:00,09:00-12:00,16:00-20:00,09:00-12:00,16:00-20:00,09:00-12:00,16:00-20:00,09:00-12:00,16:00-20:00,09:00-12:00,16:00-20:00,,,
17,40.35373941,18.17208409,PALAZZO CARAFA,VICO,DEI FEDELE,3,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 7,30-14,00",,,07:00-14:00,,07:00-14:00,,07:00-14:00,,07:00-14:00,,07:00-14:00,,,,,,
18,40.34716556,18.16559315,PIGNATELLI CENTRO MEDICO,VIA,DON BOSCO,45,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 8,30-12,00 16,00-19,00",,,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,,,,,
19,40.3475744,18.16615105,PIGNATELLI LABORATORIO ANALISI,VIA,MARTIRI D'OTRANTO,2,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V S matt. 7,30-13,00 17,30-18,00",,,07:30-13:00,17:30-18:00,07:30-13:00,17:30-18:00,07:30-13:00,17:30-18:00,07:30-13:00,17:30-18:00,07:30-13:00,17:30-18:00,07:30-13:00,,,,
20,40.34956951,18.1857419,POLIZIA LOCALE,VIALE,ROSSINI,110,POSTAZIONE CON DEFIBRILLATORE DAE A BORDO DEL MEZZO IN DOTAZIONE ALLA SEZIONE ANTINFORTUNISTICA,L/D H24,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
21,40.31978399,18.13495159,RX CALABRESE,VIA,SAN PIETRO IN LAMA KM3,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/G 9,00-16,00",,,09:00-13:59,14:00-16:00,09:00-13:59,14:00-16:00,09:00-13:59,14:00-16:00,09:00-13:59,14:00-16:00,,,,,,,
22,40.35545636,18.18254471,SCUOLA MEDIA QUINTO ENNIO,VIA,IMBRIANI,46,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 8,00-14,00",,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,,,,,
23,40.35874,18.17337,TRIBUNALE PENALE,VIALE,MICHELE DE PIETRO,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 08,30-12,30",,,08:30-12:30,,08:30-12:30,,08:30-12:30,,08:30-12:30,,08:30-12:30,,08:30-12:30,,,,
24,40.36238,18.17058,TRIBUNALE CIVILE,VIA,BRENTA,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 08,30-12,30",,,08:30-12:30,,08:30-12:30,,08:30-12:30,,08:30-12:30,,08:30-12:30,,08:30-12:30,,,,
25,40.36219,18.17089,GIUDICE DI PACE,VIA,BRENTA,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 08,00-13,00 mart e giov 15,00-16,00",,,08:00-13:00,,08:00-13:00,15:00-16:00,08:00-13:00,,08:00-13:00,15:00-16:00,08:00-13:00,,08:00-13:00,,,,
26,40.361181,18.192707,LICEO SCIENTIFICO G. BANZI BAZOLI,PIAZZA,DEL PALIO,63,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,00-14,00",,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,,,,,
27,40.346963,18.178756,I.I.S.S. A. DE PACE,VIA,ANTONIO MIGLIETTA,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,00-17,30 AGO 7,30-13,00",,,08:00-13:59,14:00-17:30,08:00-13:59,14:00-17:30,08:00-13:59,14:00-17:30,08:00-13:59,14:00-17:30,08:00-13:59,14:00-17:30,08:00-13:59,14:00-17:30,,,
28,40.361185,18.194015,ISTITUTO TECNICO GRAZIA DELEDDA,PIAZZA,DEL PALIO,1,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
29,40.351813,18.161824,FARMACIA DE PASCALIS,VIA,DALMAZIO BIRAGO,11,POSTAZIONE CON DEFIBRILLATORE DAE,L/S 08.30-13.30 15.30-20.30,,,08:30-13:30,15:30-20:30,08:30-13:30,15:30-20:30,08:30-13:30,15:30-20:30,08:30-13:30,15:30-20:30,08:30-13:30,15:30-20:30,08:30-13:30,15:30-20:30,,,
30,40.354449,18.152092,MEDIC'S BIOMEDICA,VIA,DALMAZIO BIRAGO,66,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 9,00-13,00 16,00-20,00 S 9,00-13,00",,,09:00-13:00,16:00-20:00,09:00-13:00,16:00-20:00,09:00-13:00,16:00-20:00,09:00-13:00,16:00-20:00,09:00-13:00,16:00-20:00,09:00-13:00,,,,
31,40.346069,18.184257,STUDIO MEDICO DOTT. MARIO GAZZABIN,VIA,ENZO SOZZO,11,POSTAZIONE CON DEFIBRILLATORE DAE,Mart. e Ven. 16.00-20.00,,,,,,16:00-20:00,,,,,,16:00-20:00,,,,,
32,40.35912,18.157813,ICOS,VIA,LUIGI EINAUDI,12,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
33,40.35245,18.16934,UFFICI COMUNALI PRESSO TEATINI,VIA,VITTORIO EMANUELE II,16,POSTAZIONE CON DEFIBRILLATORE DAE ATTUALMENTE NON DISPONIBILE PER FURTO,,,,,,,,,,,,,,,,,,
34,40.34752,18.15433,CASERMA S. ZAPPALA’ COMANDO SCUOLA DI CAVALLERIA,VIA,GUGLIEMO MASSAGLIA,19,POSTAZIONE CON DEFIBRILLATORE DAE,"00,00-24,00",,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
35,40.34515,18.14832,CASERMA NACCI,VIA,MONTERONI,,POSTAZIONE CON DEFIBRILLATORE DAE,"00,00-24,00",,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
36,40.35362,18.21516,CENTRO IPPICO MILITARE FEDERIGO CAPRILLI SCUOLA DI CAVALLERIA,STRADA,STRADA PROVINCIALE LECCE AEROPORTO TURISTICO LITORANEA SP 298,,POSTAZIONE CON DEFIBRILLATORE DAE,"00,00-24,00",,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
37,40.345593,18.184565,STUDIO ANALISI CLINICHE DE VITIS,VIA,EDOARDO DE CANDIA,35,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 7,30-12,30 17,00-19,00",,,07:30-12:30,17:00-19:00,07:30-12:30,17:00-19:00,07:30-12:30,17:00-19:00,07:30-12:30,17:00-19:00,07:30-12:30,17:00-19:00,,,,,
38,40.33704,18.18325,CENTRO TKD OLIMPICO C/O SEMINARIO,VIA,UMBRIA,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
39,40.3511,18.18141,STUDIO RADIOLOGICO QUARTA COLOSSO,VIA,FILIPPO TURATI,19,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 08,30-12,30 15,30-19,30",,,08:30-12:30,15:30-19:30,08:30-12:30,15:30-19:30,08:30-12:30,15:30-19:30,08:30-12:30,15:30-19:30,08:30-12:30,15:30-19:30,,,,,
40,40.35312,18.18315,CRIO,VIA,MATTEO RENATO IMBRIANI,13,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 9.00-13.00 17.00-20.30,,,09:00-13:00,17:00-20:30,09:00-13:00,17:00-20:30,09:00-13:00,17:00-20:30,09:00-13:00,17:00-20:30,09:00-13:00,17:00-20:30,,,,,
41,40.35972,18.1719,LICEO SCIENTIFICO COSIMO DE GIORGI,VIALE,MICHELE DE PIETRO,14,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,00-14,00",,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,,,
42,40.35692,18.16062,LICEO SCIENTIFICO COSIMO DE GIORGI - POLO DIDATTICO DISTACCATO,VIA,POZZUOLO,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,00-14,00",,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,,,
43,40.36893,18.17321,ISTITUTO TECNICO COMMERCIALE I.I.S.S. FRANCESCO CALASSO,VIA,BELICE,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 8,00-20,00 S 8,00-14,00",,,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,,,,
44,40.36286,18.19246,PALAZZETTO DELLO SPORT GERMANO VENTURA,PIAZZA,PALIO,,POSTAZIONE CON DEFIBRILLATORE DAE ATTUALMENTE NON DISPONIBILE PER FURTO,,,,,,,,,,,,,,,,,,
45,40.36478,18.17512,CENTRO SPORTIVO SANTA ROSA,VIA,BASENTO,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 16,00-19,30",3406905052,info@polisportivasantarosa.it,,16:00-18:00,,17:00-18:45,,16:00-18:00,,17:00-18:45,,16:30-18:00,,,,,
46,40.34282,18.17547,CASA DI CURA VILLA BIANCA,VIA,DI LEUCA,133,POSTAZIONE CON DEFIBRILLATORE DAE,L/D 24/24,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
47,40.34637,18.17848,ASD SPORTING CLUB C/O DIREZIONE GENERALE ASL LECCE EX OPIS,VIA,ANTONIO MIGLIETTA,5,POSTAZIONE CON DEFIBRILLATORE DAE,"L,M,M,V 15,30-19,30 S 9,30-11,30",,,,15:30-19:30,,15:30-19:30,,15:30-19:30,,,,15:30-19:30,09:30-16:30,,,,
48,40.34749,18.16457,LICEO MAGISTRALE SICILIANI SUCCURSALE,VIA,DON BOSCO,22,POSTAZIONE CON DEFIBRILLATORE DAE - DISPONIBILE TUTTI I GIORNI ESCLUSO FESTIVI E GIORNATE DI CHIUSURA UFFICI DI SEGRETERIA,"L/S 8,20-13,20",,,08:20-13:20,,08:20-13:20,,08:20-13:20,,08:20-13:20,,08:20-13:20,,08:20-13:20,,,,
49,40.3661953,18.177076,CAMPO CONI,VIA,GIAMMATTEO,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
50,40.3582437,18.1674785,SEDE UFFICI CONI,VIA,VITO CARLUCCIO,1D,POSTAZIONE CON DEFIBRILLATORE DAE,"L/G 09,30-16,30 V 09,30-13,30",,,09:30-13:59,14:00-16:30,09:30-13:59,14:00-16:30,09:30-13:59,14:00-16:30,09:30-13:59,14:00-16:30,09:30-13:30,,,,,,
51,40.3559935,18.2000288,ENEL,VIA,POTENZA,8,POSTAZIONE CON DEFIBRILLATORE DAE,L/D 24/24,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
52,40.3445706,18.1724833,I.I.S.S. A. DE PACE SEDE CENTRALE,VIA,VENETO,36,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,00-21,00 AGO 8,00-14,00",,,08:00-13:59,14:00-21:00,08:00-13:59,14:00-21:00,08:00-13:59,14:00-21:00,08:00-13:59,14:00-21:00,08:00-13:59,14:00-21:00,08:00-13:59,14:00-21:00,,,
53,40.3608395,18.1806765,FARMACIA MIGALI,VIALE,GIACOMO LEOPARDI,116,POSTAZIONE CON DEFIBRILLATORE DAE,"L/D 08,30-22,30",,,08:30-13:59,14:00-22:30,08:30-13:59,14:00-22:30,08:30-13:59,14:00-22:30,08:30-13:59,14:00-22:30,08:30-13:59,14:00-22:30,08:30-13:59,14:00-22:30,08:30-13:59,14:00-22:30,
54,40.3280107,18.1360854,CIRCOLO IPPICO IL DIRUPO,VIA,FIORENZO MAGNI,2,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 7,30-12,00 17,30-20,30",,,07:30-12:00,17:30-20:30,07:30-12:00,17:30-20:30,07:30-12:00,17:30-20:30,07:30-12:00,17:30-20:30,07:30-12:00,17:30-20:30,07:30-12:00,17:30-20:30,,,
55,40.3629523,18.1991101,SCUOLA MEDIA STOMEO ZIMBALO,VIA,SIRACUSA - ZONA 167 B,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 07,30-18,00",,,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,,,
56,40.3870247,18.3042592,LIDO YORK SAN CATALDO,VIA,AMERIGO VESPUCCI,11,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
57,40.3911358,18.3055254,LIDO TURRISI SAN CATALDO,LUNGOMARE,SEBASTIANO CABOTO,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
58,40.3918738,18.3048301,LIDO PEVERO BEACH SAN CATALDO,VIA,ANDREA DORIA,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
59,40.3929733,18.3032911,LIDO SOLE LUNA SAN CATALDO,LUNGOMARE,MARINAI D'ITALIA,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
60,40.3933778,18.3022397,LIDO PACHA MAMA SAN CATALDO,LUNGOMARE,MARINAI D'ITALIA,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
61,40.3959302,18.2981568,LIDO PONTICELLO SAN CATALDO,VIA,PALINURO (DARSENA),,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
62,40.4285587,18.2540488,LIDO SMERALDO FRIGOLE,LUNGOMARE,ATTILIO MORI,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
63,40.4300908,18.2528467,LIDO LA STAFFA FRIGOLE,LUNGOMARE,ATTILIO MORI,,POSTAZIONE CON DEFIBRILLATORE DAE DURANTE I MESI DI APERTURA DELLA STRUTTURA: GIUGNO/10 SETTEMBRE,L/D 8.00-24.00 durante i mesi di apertura della struttura,,,08:00-13:59,14:00-23:59,08:00-13:59,14:00-23:59,08:00-13:59,14:00-23:59,08:00-13:59,14:00-23:59,08:00-13:59,14:00-23:59,08:00-13:59,14:00-23:59,08:00-13:59,14:00-23:59,
64,40.4304957,18.2525609,LIDO GRANCHIO ROSSO FRIGOLE,LUNGOMARE,ATTILIO MORI,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
65,40.437637,18.2483361,LIDO PANTAREI FRIGOLE,VIA,C. BERGAMINI,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
66,40.4510463,18.2263061,LIDO STELLA TORRE CHIANCA,STRADA PROV.LE,FRIGOLE TORRE CHIANCA,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
67,40.4674296,18.194589,LIDO CIRCEO TORRE CHIANCA,VIALE,EOLO,4,POSTAZIONE CON DEFIBRILLATORE DAE DURANTE I MESI DI APERTURA DELLA STRUTTURA: GIUGNO/AGOSTO,L/D 8.00-20.00 durante i mesi di apertura della struttura,,,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,
68,40.467717,18.1928173,LIDO APPRODO TORRE CHIANCA,VIALE,EOLO,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
69,40.4681134,18.1888702,LIDO BACINO CAMBUSA TORRE CHIANCA,BACINO,TORRE CHIANCA,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
70,40.4688838,18.1863921,LIDO KALU' SPIAGGIABELLA,VIA,ITACA LIDO,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
71,40.4692115,18.1855403,LIDO BACINO IDUME SPIAGGIABELLA,VIA,DELLA PAVONCELLA,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
72,40.4696044,18.1841701,LIDO POLE POLE BEACH SPIAGGIABELLA,VIA,BIBIONE,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
73,40.4701776,18.1832294,LIDO DENISE SPIAGGIABELLA,VIA,IESOLO,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
74,40.4850326,18.1460729,VILLAGGIO CLUB TORRE RINALDA,VIA,LITORANEA SALENTINA SUD,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
75,40.4309529,18.2522,LIDO ESPOSITO,LUNGOMARE,ATTILIO MORI,,POSTAZIONE CON DEFIBRILLATORE DAE DURANTE I MESI DI APERTURA DELLA STRUTTURA,L/D 9.00-19.00 durante i mesi di apertura della struttura,,,09:00-13:59,14:00-19:00,09:00-13:59,14:00-19:00,09:00-13:59,14:00-19:00,09:00-13:59,14:00-19:00,09:00-13:59,14:00-19:00,09:00-13:59,14:00-19:00,09:00-13:59,14:00-19:00,
76,40.3538766,18.1748729,I.I.S.S. COSTA,PIAZZETTA,BRIZIO DE SANTIS,10,POSTAZIONE CON DEFIBRILLATORE DAE,"L - S 08,00 - 14,00",,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,08:00-14:00,,,,
77,40.35809301,18.15976739,PALESTRA IL CERCHIO,VIA,CAVALIERI DELL'ORDINE DI VITTORIO VENETO,31,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 8,00-13,00 15,30-18,30",3274218632,ilcerchiolecce@alice.it,08:00-13:00,15:30-18:30,08:00-13:00,15:30-18:30,08:00-13:00,15:30-18:30,08:00-13:00,15:30-18:30,08:00-13:00,15:30-18:30,,,,,
78,40.36370321,18.17012608,ISTITUTO COMPRENSIVO A. GALATEO - FRIGOLE,VIA,DOMENICO FONTANA,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 07,30-19,30",,,07:30-13:59,14:00-19:30,07:30-13:59,14:00-19:30,07:30-13:59,14:00-19:30,07:30-13:59,14:00-19:30,07:30-13:59,14:00-19:30,07:30-13:59,14:00-19:30,,,
79,40.3392534,18.1643802,POLIGONO DI TIRO,VIALE,GRASSI,,POSTAZIONE CON DEFIBRILLATORE DAE,"MERC ,VEN, SAB 09,00-12,00 15,30-17,00",,,,,,,09:00-12:00,15.30-17:00,,,09:00-12:00,15.30-17:00,09:00-12:00,15.30-17:00,,,
80,40.3852883,18.1685557,OUTLINE,VIA,ADRIATICA,3,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
81,40.3439696,18.1724748,INPS LECCE,VIALE,MARCHE,12,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
82,40.344372,18.1857215,ISTITUTO TECNICO COMMERCIALE OLIVETTI,VIA,MARUGI,29,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,00-13,00",,,08:00-13:00,,08:00-13:00,,08:00-13:00,,08:00-13:00,,08:00-13:00,,08:00-13:00,,,,
83,40.3520675,18.1715484,DEFIBRILLATORE PUBBLICO N. 1,VIA,AUGUSTO IMPERATORE,35,POSTAZIONE CON DEFIBRILLATORE DAE,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
84,40.3371415,18.1766756,I.C. AMMIRATO FALCONE,VIA,RAFFAELLO SANZIO,51,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 8,00-14,30 15,30-18,30 S 8,00-14,00",,,08:00-14:00,15:30-18:30,08:00-14:00,15:30-18:30,08:00-14:00,15:30-18:30,08:00-14:00,15:30-18:30,08:00-14:00,15:30-18:30,08:00-14:00,,,,
85,40.3437026,18.2116447,POLISPORTIVA MATCH POINT,STRADA PROV.LE,LECCE VERNOLE,KM 2,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 08,00-23,00",,,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,,,
86,40.3526872,18.1640484,ISTITUTO COMPRENSIVO DANTE ALIGHERI-ARMANDO DIAZ,VIA,EGIDIO REALE,59,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 07,30-14,00",,,07:00-14:00,,07:00-14:00,,07:00-14:00,,07:00-14:00,,07:00-14:00,,,,,,
87,40.425764,18.2565181,LIDO MOLO 13,LUNGOMARE,ATTILIO MORI,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
