id,denominazione,tipologia,indirizzo,quartiere,classificazione,posti_letto,camere,stato,tariffa_min,tariffa_max,lat,lon,data_inizio_attivita,comune
74,B&B SOLE E SALE,bed_and_breakfast,VIA GIACOMO CARTIER,FRAZIONE SAN CATALDO,,2,8,ATTIVO,100.0,,,,,Comune di Lecce
75,B&B PALAZZO BAROCCO,bed_and_breakfast,VIALE ORONZO QUARTA,FERROVIA - CASERMETTE,,5,10,ATTIVO,,,,,,Comune di Lecce
76,B&B VILLA URSO,bed_and_breakfast,VIA VECCHIA SAN PIETRO IN LAMA,FERROVIA - CASERMETTE,,4,10,ATTIVO,100.0,,,,,Comune di Lecce
77,B&B IL MONASTERO,bed_and_breakfast,VIA  MALENNIO,CENTRO,,4,10,ATTIVO,,,,,,Comune di Lecce
78,B&B 19 VENTI,bed_and_breakfast,VIA IMPERATORE ADRIANO,MAZZINI,,3,7,ATTIVO,,,,,,Comune di Lecce
79,B&B SWEET PARADISE,bed_and_breakfast,VIA DELL' ASPARAGINA,FRAZIONE SAN CATALDO,,2,7,ATTIVO,,,,,,Comune di Lecce
80,B&B AURORA,bed_and_breakfast,VIALE  MARCHE,LEUCA,,4,8,ATTIVO,100.0,,,,,Comune di Lecce
81,B&B LA STANZA DELLA TARANTA,bed_and_breakfast,VIA  TRIESTE,RUDIAE - SAN PIO,,1,4,ATTIVO,,,,,,Comune di Lecce
82,B&B DIMORA SAN GIUSEPPE,bed_and_breakfast,VIA LUDOVICO MAREMONTI,CENTRO,,5,14,ATTIVO,250.0,,,,,Comune di Lecce
83,B&B RESIDENZA PIZZINIACO,bed_and_breakfast,VIA NICOLA CATALDI,LEUCA,,5,15,ATTIVO,105.0,,,,,Comune di Lecce
84,B&B NUVOLE BAROCCHE,bed_and_breakfast,PIAZZETTA BRIZIO DE SANTIS,CENTRO,,2,6,ATTIVO,160.0,,,,,Comune di Lecce
85,B&B LI FIGULI,bed_and_breakfast,VIA EMANUELE ORFANO,BORGO SAN NICOLA,,3,8,ATTIVO,120.0,,,,,Comune di Lecce
86,B&B CAVOUR,bed_and_breakfast,VIA  CAVOUR,CENTRO,,2,8,ATTIVO,,,,,,Comune di Lecce
87,B&B RUDIAE 44,bed_and_breakfast,VIA  RUDIAE,FERROVIA - CASERMETTE,,3,9,ATTIVO,80.0,,,,,Comune di Lecce
88,B&B BELLE EPOQUE,bed_and_breakfast,VIA GIUSEPPE CANDIDO,LEUCA,,2,10,ATTIVO,,,,,,Comune di Lecce
89,B&B MAISON D'ESTIA,bed_and_breakfast,VIA CESARE BATTISTI,MAZZINI,,2,8,ATTIVO,,,,,,Comune di Lecce
90,B&B LA CASA DEI COLORI,bed_and_breakfast,VIA LUIGI STURZO,MAZZINI,,1,2,ATTIVO,,,,,,Comune di Lecce
91,B&B AL CAMINO,bed_and_breakfast,VIA PIETRO CAVOTI,SALESIANI,,2,5,ATTIVO,,,,,,Comune di Lecce
92,B&B IL LUPPIU,bed_and_breakfast,VIA  SANTI GIACOMO E FILIPPO,MAZZINI,,1,2,ATTIVO,,,,,,Comune di Lecce
93,B&B LA TERRAZZA A SUD,bed_and_breakfast,VIA GIUSEPPE ZANARDELLI,MAZZINI,,2,4,ATTIVO,,,,,,Comune di Lecce
94,B&B ARTEMIDE 2,bed_and_breakfast,VIA BONAVENTURA MAZZARELLA,MAZZINI,,3,9,ATTIVO,,,,,,Comune di Lecce
95,B&B LA MAISON DU COEUR,bed_and_breakfast,PIAZZETTA ARCO DI PRATO,CENTRO,,2,5,ATTIVO,,,,,,Comune di Lecce
96,B&B ARANCETO,bed_and_breakfast,CORTE DELLA TORRE  DEI CARRETTI,CENTRO,,4,8,ATTIVO,,,,,,Comune di Lecce
97,B&B DONNA FRANCA,bed_and_breakfast,VIA  NOVANTACINQUESIMO REGGIMENTO FANTERIA,MAZZINI,,5,10,ATTIVO,90.0,,,,,Comune di Lecce
98,B&B VITALITE',bed_and_breakfast,VIA LIBORIO ROMANO,MAZZINI,,1,4,ATTIVO,,,,,,Comune di Lecce
99,B&B VOLVER,bed_and_breakfast,VIALE ORONZO QUARTA,FERROVIA - CASERMETTE,,2,7,ATTIVO,,,,,,Comune di Lecce
100,B&B CORTE DEI ROMITI,bed_and_breakfast,CORTE DEI ROMITI,CENTRO,,2,8,ATTIVO,,,,,,Comune di Lecce
101,B&B LUPIAE,bed_and_breakfast,VIA ANTONIO D'ANDREA,SALESIANI,,4,8,ATTIVO,,,,,,Comune di Lecce
102,B&B LECCE ARTE,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,1,2,ATTIVO,,,,,,Comune di Lecce
103,B&B ORANGE,bed_and_breakfast,VIA FILIPPO GALA,FERROVIA - CASERMETTE,,1,3,ATTIVO,,,,,,Comune di Lecce
104,B&B SPIRIT SUITE,bed_and_breakfast,VIA QUATTRO NOVEMBRE,SALESIANI,,3,4,ATTIVO,,,,,,Comune di Lecce
105,B&B TOP SALENTO,bed_and_breakfast,VIA DI VALESIO,RUDIAE - SAN PIO,,3,7,ATTIVO,,,,,,Comune di Lecce
106,B&B VILLA GRAZIA,bed_and_breakfast,VIA ETTORE MUTI,RUDIAE - SAN PIO,,5,7,ATTIVO,,,,,,Comune di Lecce
107,B&B SUITE MAZZINI,bed_and_breakfast,VIA SALVATORE TRINCHESE,CENTRO,,1,4,ATTIVO,,,,,,Comune di Lecce
108,B&B FAZENDA DO BRASIL,bed_and_breakfast,,,,3,10,ATTIVO,,,,,,Comune di Lecce
109,B&B L'ACCHIATURA,bed_and_breakfast,VIA LEONIDA FLASCASSOVITTI,RUDIAE - SAN PIO,,2,9,ATTIVO,90.0,,,,,Comune di Lecce
110,B&B AL VICO DEI SOTTERRANEI,bed_and_breakfast,VICO DEI SOTTERRANEI,CENTRO,,1,2,ATTIVO,40.0,,,,,Comune di Lecce
111,LA SUITE B&B,bed_and_breakfast,VIA DEGLI ACAYA,CENTRO,,2,4,ATTIVO,,,,,,Comune di Lecce
112,B&B IL GIARDINO DEI LIMONI,bed_and_breakfast,VIA NINO BIXIO,SALESIANI,,2,4,ATTIVO,,,,,,Comune di Lecce
113,B&B LA SUPPINA,bed_and_breakfast,VICO CONSERVATORIO SAN LEONARDO,CENTRO,,1,2,ATTIVO,,,,,,Comune di Lecce
114,B&B IL SORRISO DEL BAROCCO,bed_and_breakfast,VIA  TARANTO,BORGO PACE,,1,4,ATTIVO,,,,,,Comune di Lecce
115,B&B VERSO SUD EST,bed_and_breakfast,VIA  SAN PIETRO IN LAMA,FERROVIA - CASERMETTE,,3,6,ATTIVO,,,,,,Comune di Lecce
116,B&B CORTE DELL'IDUME,bed_and_breakfast,CORTE DELL' IDUME,CENTRO,,1,4,ATTIVO,55.0,,,,,Comune di Lecce
117,B&B MANTATELURE - DEPENDANCE,bed_and_breakfast,VIA VITTORIO DEI PRIOLI,CENTRO,,2,8,ATTIVO,450.0,,,,,Comune di Lecce
118,B&B MANTATELURE DIMORA ESCLUSIVA,bed_and_breakfast,VIA VITTORIO DEI PRIOLI,CENTRO,,6,18,ATTIVO,500.0,,,,,Comune di Lecce
119,B&B CORTE BAROCCA,bed_and_breakfast,CORTE DEI MOROSINI,CENTRO,,2,6,ATTIVO,105.0,,,,,Comune di Lecce
120,B&B L'ARMONIA,bed_and_breakfast,VIA  CAVOUR,CENTRO,,2,4,ATTIVO,,,,,,Comune di Lecce
121,B&B MANZONI,bed_and_breakfast,VIA ALESSANDRO MANZONI,SANTA ROSA,,1,5,ATTIVO,50.0,,,,,Comune di Lecce
122,B&B CASA D'ARTISTA,bed_and_breakfast,VIA ABRAMO BALMES,CENTRO,,1,6,ATTIVO,120.0,,,,,Comune di Lecce
123,B&B TASSO ROSSO,bed_and_breakfast,VIA TORQUATO TASSO,SALESIANI,,2,4,ATTIVO,,,,,,Comune di Lecce
124,B&B SIRIO,bed_and_breakfast,VIA DI LEUCA,LEUCA,,6,12,ATTIVO,,,,,,Comune di Lecce
125,B&B WHITE SUITE,bed_and_breakfast,VIA ANTONELLO CONIGER,CENTRO,,2,5,ATTIVO,,,,,,Comune di Lecce
126,B&B CHIC & COUNTRY,bed_and_breakfast,VIA FRANCESCO CAMASSA,LEUCA,,1,4,ATTIVO,140.0,,,,,Comune di Lecce
127,B&B LA PICCOLA DIMORA SALENTINA,bed_and_breakfast,VIA BRACCIO MARTELLO,MAZZINI,,1,4,ATTIVO,,,,,,Comune di Lecce
128,B&B L'ANTICA RIMESSA,bed_and_breakfast,VIA GIUSEPPE CASCIARO,BORGO SAN NICOLA,,2,7,ATTIVO,130.0,,,,,Comune di Lecce
129,B&B VILLA PEPPINA,bed_and_breakfast,VIA GIACOMO PUCCINI,LEUCA,,2,6,ATTIVO,,,,,,Comune di Lecce
130,B&B IL TACCO DELLO STIVALE,bed_and_breakfast,VIA GUGLIELMO OBERDAN,MAZZINI,,1,3,ATTIVO,160.0,,,,,Comune di Lecce
131,B&B ARCHITA,bed_and_breakfast,VIA ARCHITA DA TARANTO,SANTA ROSA,,1,4,ATTIVO,,,,,,Comune di Lecce
132,B&B CORTE DEI TARALLI,bed_and_breakfast,CORTE DEI TARALLI,CENTRO,,3,9,ATTIVO,160.0,,,,,Comune di Lecce
133,B&B I CONTI DI LECCE,bed_and_breakfast,VIA PALAZZO DEI CONTI DI LECCE,,,2,5,ATTIVO,,,,,,Comune di Lecce
134,B&B BRICIOLE DI GUSTO,bed_and_breakfast,VIA GIANGIACOMO LAZARI,SALESIANI,,2,6,ATTIVO,,,,,,Comune di Lecce
135,B&B LUXURY,bed_and_breakfast,VIA  ARCHIMEDE,SALESIANI,,2,6,ATTIVO,,,,,,Comune di Lecce
136,B&B MEDITERRANEO,bed_and_breakfast,VIA GUGLIELMOTTO D'OTRANTO,LEUCA,,2,6,ATTIVO,,,,,,Comune di Lecce
137,B&B AND SO BOUTIQUE,bed_and_breakfast,VIA DEI PERRONI,CENTRO,,6,14,ATTIVO,,,,,,Comune di Lecce
138,B&B LECCE HOLIDAYS,bed_and_breakfast,VIA ANTONIO SALANDRA,MAZZINI,,2,4,ATTIVO,,,,,,Comune di Lecce
139,B&B SALECCE,bed_and_breakfast,VIA FORMOSO LUBELLO,SANTA ROSA,,1,5,ATTIVO,132.0,,,,,Comune di Lecce
140,B&B FENICE BAROCCA,bed_and_breakfast,VIA DELLE ANIME,RUDIAE - SAN PIO,,2,9,ATTIVO,35.0,,,,,Comune di Lecce
141,B&B SUITE NINA,bed_and_breakfast,VIALE DELL' UNIVERSITA',CENTRO,,1,5,ATTIVO,,,,,,Comune di Lecce
142,B&B PALAZZO GUIDO DEPENDANCE,bed_and_breakfast,VIA CONTE GAUFRIDO,,,3,8,ATTIVO,1200.0,,,,,Comune di Lecce
143,B&B PALAZZO GUIDO,bed_and_breakfast,VIA CONTE GAUFRIDO,,,4,8,ATTIVO,1200.0,,,,,Comune di Lecce
144,B&B CASA BRANCACCIO,bed_and_breakfast,VIA MARINO BRANCACCIO,CENTRO,,2,4,ATTIVO,,,,,,Comune di Lecce
145,B&B LECCE HOUSE,bed_and_breakfast,VIA MICHELE SAPONARO,SAN SABINO,,1,5,ATTIVO,50.0,,,,,Comune di Lecce
146,B&B SESTOCHILOMETRO,bed_and_breakfast,STRADA PROVINCIALE  364 DEL LIDO DI LECCE,FRAZIONE SAN CATALDO,,3,9,ATTIVO,50.0,,,,,Comune di Lecce
147,B&B LA DIMORA DI VIA ARCHIMEDE,bed_and_breakfast,VIA  ARCHIMEDE,SALESIANI,,1,4,ATTIVO,,,,,,Comune di Lecce
148,B&B LE TRE CIVETTE,bed_and_breakfast,VIALE DELL' UNIVERSITA',RUDIAE - SAN PIO,,2,16,ATTIVO,90.0,,,,,Comune di Lecce
149,B&B KOLOR,bed_and_breakfast,VIA  TARANTO,RUDIAE - SAN PIO,,2,8,ATTIVO,150.0,,,,,Comune di Lecce
150,B&B PALAZZO BIGNAMI,bed_and_breakfast,VIA  LOMBARDIA,FERROVIA - CASERMETTE,,6,18,ATTIVO,,,,,,Comune di Lecce
151,B&B DEL POPOLO,bed_and_breakfast,VIA DEL SINGONIO,FRAZIONE FRIGOLE,,1,2,ATTIVO,,,,,,Comune di Lecce
152,B&B ALISEO,bed_and_breakfast,VIA DOMENICO MODUGNO,FERROVIA - CASERMETTE,,5,2,ATTIVO,55.0,,,,,Comune di Lecce
153,B&B CASA CALENDRA,bed_and_breakfast,VIA GIOVANNI CAMILLO PALMA,LEUCA,,1,4,ATTIVO,40.0,,,,,Comune di Lecce
154,B&B I QUATTRO BALCONI,bed_and_breakfast,VIA ASCANIO GRANDI,CENTRO,,3,9,ATTIVO,,,,,,Comune di Lecce
155,B&B PALAZZO ROSSI,bed_and_breakfast,PIAZZETTA REGINA MARIA    (D'Enghien),CENTRO,,1,4,ATTIVO,,,,,,Comune di Lecce
156,B&B LA SOSTA,bed_and_breakfast,,,,3,9,ATTIVO,40.0,,,,,Comune di Lecce
157,B&B ANTICHE VOLTE,bed_and_breakfast,VIA ANTONELLO CONIGER,CENTRO,,2,7,ATTIVO,,,,,,Comune di Lecce
158,B&B ZO.NE. BAROQUE,bed_and_breakfast,VIA DUCA DEGLI ABRUZZI,CENTRO,,3,9,ATTIVO,,,,,,Comune di Lecce
159,B&B CORTE TORRE DEI CARRETTI,bed_and_breakfast,CORTE DELLA TORRE  DEI CARRETTI,CENTRO,,1,3,ATTIVO,,,,,,Comune di Lecce
160,B&B SAN ANDREAS,bed_and_breakfast,VIA  ABRUZZI,LEUCA,,5,14,ATTIVO,,,,,,Comune di Lecce
161,B&B LE GIRAVOLTE,bed_and_breakfast,VIA DEI FIGULI,CENTRO,,3,9,ATTIVO,,,,,,Comune di Lecce
162,B&B SOGNIdiVERSI,bed_and_breakfast,VIA  DONATELLO,LEUCA,,1,4,ATTIVO,,,,,,Comune di Lecce
163,B&B DIMORA DEI CARLI,bed_and_breakfast,VIA CESARE BATTISTI,MAZZINI,,2,6,ATTIVO,,,,,,Comune di Lecce
164,B&B LARALA',bed_and_breakfast,VIA SAN FRANCESCO D'ASSISI,CENTRO,,3,6,ATTIVO,50.0,,,,,Comune di Lecce
165,B&B NAMASTE',bed_and_breakfast,VIA GIUSEPPE PARINI,MAZZINI,,2,5,ATTIVO,80.0,,,,,Comune di Lecce
166,B&B IL GIARDINO DI BENEDETTA,bed_and_breakfast,VIA GIUSEPPE CANDIDO,LEUCA,,3,8,ATTIVO,130.0,,,,,Comune di Lecce
167,B&B RE DEL SALE,bed_and_breakfast,VIA CARLO RUSSI,CENTRO,,6,16,ATTIVO,,,,,,Comune di Lecce
168,B&B DIMORA LA CORTE,bed_and_breakfast,CORTE ANTONIO DELLA FLORA,CENTRO,,1,2,ATTIVO,90.0,,,,,Comune di Lecce
169,B&B DIMORE ROMANO,bed_and_breakfast,VIA MICHELANGELO SCHIPA,MAZZINI,,3,6,ATTIVO,,,,,,Comune di Lecce
170,B&B PALAZZO SANT'ANNA SUITE,bed_and_breakfast,VICO DEL PITTACIO,CENTRO,,3,7,ATTIVO,250.0,,,,,Comune di Lecce
171,B&B ARCHETIPO - DOMUS ART GALLERY,bed_and_breakfast,VIA ASCANIO GRANDI,CENTRO,,2,4,ATTIVO,,,,,,Comune di Lecce
172,B&B BUON CONSIGLIO,bed_and_breakfast,VIA GIACOMO MATTEOTTI,CENTRO,,2,9,ATTIVO,,,,,,Comune di Lecce
173,B&B TRIATHLON,bed_and_breakfast,VIA LUIGI STURZO,MAZZINI,,2,7,ATTIVO,100.0,,,,,Comune di Lecce
174,B&B GERBASIO FIAMMETTA,bed_and_breakfast,VIA VITTORIO BACHELET,SAN SABINO,,2,6,ATTIVO,600.0,,,,,Comune di Lecce
175,B&B SUITE LE SCALZE,bed_and_breakfast,VIA CARLO RUSSI,CENTRO,,1,4,ATTIVO,,,,,,Comune di Lecce
176,B&B DOMUS LUPIAE,bed_and_breakfast,VIA GIUSEPPE PETRAGLIONE,FERROVIA - CASERMETTE,,2,8,ATTIVO,,,,,,Comune di Lecce
