data,lat,lon,morti,feriti,zona,ora
2013-03-14,40.36165,18.18522,,2,LECCE,16:30
2013-03-15,40.36086,18.17749,,1,LECCE,10:20
2013-03-15,40.33778,18.16803,,,LECCE,16:00
2013-03-15,40.35058,18.19136,,3,LECCE,16:20
2013-03-15,40.34864,18.17364,,,LECCE,16:55
2013-03-16,40.35889,18.15557,,1,LECCE,09:10
2013-03-17,40.33884,18.1256,,,LECCE,23:15
2013-03-18,40.36027,18.18142,,,LECCE,12:00
2013-03-18,40.35105,18.17643,,,LECCE,14:45
2013-03-19,40.21086,18.09767,,2,LECCE,09:45
2013-03-20,40.3624,18.16921,,3,LECCE,10:20
2013-03-22,40.35642,18.13032,,2,LECCE,07:40
2013-03-23,40.3557,18.19005,,,LECCE,09:00
2013-03-23,40.34654,18.18391,,1,LECCE,13:50
2013-03-23,40.36612,18.20635,,2,LECCE,15:45
2013-03-23,40.38046,18.20469,,,LECCE,16:20
2013-03-24,40.3771,18.18216,,,LECCE,04:30
2013-03-24,40.35714,18.18602,,1,LECCE,13:10
2013-03-25,40.33965,18.17872,,1,LECCE,09:20
2013-03-25,40.35553,18.1524,,1,LECCE,13:00
2013-03-26,40.34777,18.1602,,,LECCE,10:15
2013-03-26,40.34907,18.18054,,,LECCE,11:45
2013-03-26,40.34557,18.15533,,2,LECCE,12:30
2013-03-26,40.35515,18.185,,2,LECCE,13:45
2013-03-27,40.34926,18.15249,,1,LECCE,07:50
2013-03-27,40.35926,18.19362,,,LECCE,20:15
2013-03-28,40.34695,18.15395,,,LECCE,08:30
2013-03-28,40.34269,18.21103,,1,LECCE,16:30
2013-03-29,40.32599,18.14977,,,LECCE,10:00
2013-03-30,40.36554,18.14259,,3,LECCE,09:00
2013-03-30,40.34855,18.15776,,1,LECCE,23:08
2013-03-31,40.35178,18.17766,,,LECCE,17:15
2013-04-01,40.34391,18.15786,,,LECCE,01:20
2013-04-01,40.34535,18.19794,,4,LECCE,13:50
2013-04-01,40.35065,18.16351,,3,LECCE,19:55
2013-04-02,40.35213,18.15057,,,LECCE,12:20
2013-04-02,40.34614,18.17604,,1,LECCE,16:30
2013-04-03,40.35573,18.19127,,,LECCE,09:08
2013-04-03,40.35014,18.1519,,,LECCE,20:50
2013-04-04,40.36088,18.17027,,,LECCE,08:00
2013-04-05,40.34663,18.18124,,,LECCE,08:45
2013-04-05,40.35458,18.18085,,1,LECCE,14:30
2013-04-05,40.35964,18.17224,,,LECCE,16:10
2013-04-06,40.35186,18.18137,,2,LECCE,15:40
2013-04-07,40.34789,18.17762,,,LECCE,12:10
2013-04-07,40.34317,18.20252,,,LECCE,15:30
2013-04-08,40.34547,18.14863,,2,LECCE,13:10
2013-04-09,40.37039,18.23328,,1,LECCE,00:30
2013-04-09,40.35726,18.16753,,2,LECCE,10:00
2013-04-10,40.36163,18.18818,,1,LECCE,13:15
2013-04-10,40.34623,18.17061,,1,LECCE,18:30
2013-04-11,40.35774,18.19126,,2,LECCE,22:00
2013-04-12,40.34758,18.17855,,,LECCE,07:50
2013-04-12,40.36267,18.16721,,1,LECCE,08:05
2013-04-12,40.358,18.15478,,1,LECCE,13:20
2013-04-12,40.35209,18.17667,,,LECCE,17:20
2013-04-13,40.35287,18.1798,,2,LECCE,17:30
2013-04-13,40.34789,18.17766,,1,LECCE,20:20
2013-04-13,40.351825,18.170068,,,LECCE,22:20
2013-04-14,40.36897,18.16863,,,LECCE,10:00
2013-04-14,40.3635,18.172,,,LECCE,16:35
2013-04-15,40.33862,18.09028,,,LECCE,05:00
2013-04-15,40.34319,18.15919,,1,LECCE,15:40
2013-04-15,40.35393,18.18448,,1,LECCE,20:20
2013-04-16,40.35509,18.17383,,1,LECCE,13:00
2013-04-16,40.35616,18.19873,,1,LECCE,14:15
2013-04-18,40.353,18.1717,,1,LECCE,14:40
2013-04-18,40.3462,18.18338,,,LECCE,19:05
2013-04-19,40.3313,18.16081,,1,LECCE,12:50
2013-04-19,40.35687,18.17428,,1,LECCE,18:10
2013-04-20,40.38148,18.21886,,4,LECCE,17:25
2013-04-22,40.34289,18.17784,,1,LECCE,09:47
2013-04-23,40.34629,18.20494,,2,LECCE,13:15
2013-04-23,40.34629,18.20494,,1,LECCE,16:15
2013-04-23,40.36215,18.17194,,,LECCE,17:20
2013-04-23,40.35527,18.17617,,1,LECCE,19:05
2013-04-24,40.35569,18.16483,,,LECCE,08:30
2013-04-24,40.34471,18.17222,,,LECCE,10:10
2013-04-24,40.34046,18.16344,,1,LECCE,10:55
2013-04-24,40.33502,18.16791,,2,LECCE,19:00
2013-04-24,40.36112,18.18005,,1,LECCE,20:27
2013-04-24,40.35529,18.17631,,2,LECCE,21:00
2013-04-25,40.34819,18.18084,,,LECCE,00:00
2013-04-26,40.34409,18.17255,,,LECCE,15:40
2013-04-26,40.35981,18.17209,,,LECCE,18:45
2013-04-26,40.362,18.17826,,,LECCE,20:50
2013-04-27,40.34413,18.14467,,1,LECCE,14:50
2013-04-28,40.35701,18.16752,,,LECCE,00:40
2013-04-28,40.35545,18.17824,,1,LECCE,11:15
2013-04-29,40.33733,18.16914,,1,LECCE,12:30
2013-04-29,40.3623,18.17718,,3,LECCE,12:45
2013-04-29,40.36126,18.17298,,,LECCE,14:50
2013-04-30,40.36066,18.16991,,,LECCE,20:20
2013-04-30,40.36271,18.17516,,,LECCE,22:00
2013-05-01,40.35245,18.17406,,,LECCE,14:30
2013-05-02,40.3583,18.16825,,1,LECCE,08:30
2013-05-02,40.35705,18.186,,1,LECCE,19:30
2013-05-03,40.34604,18.18352,,,LECCE,13:10
2013-05-04,40.36063,18.18658,,1,LECCE,13:00
2013-05-04,40.36012,18.17577,,1,LECCE,20:40
2013-05-05,40.34777,18.16015,,2,LECCE,13:48
2013-05-06,40.36007,18.10514,,2,LECCE,21:50
2013-05-08,40.35643,18.18654,,,LECCE,10:30
2013-05-09,40.36809,18.16956,,1,LECCE,16:10
2013-05-09,40.35357,18.18209,,1,LECCE,19:00
2013-05-09,40.34751,18.16865,,1,LECCE,19:00
2013-05-10,40.34954,18.16541,,,LECCE,10:30
2013-05-10,40.34775,18.16018,,1,LECCE,13:10
2013-05-10,40.35919,18.16647,,,LECCE,15:45
2013-05-10,40.4126,18.2024,,1,LECCE,18:10
2013-05-11,40.35443,18.16547,,,LECCE,10:10
2013-05-11,40.35905,18.19259,,1,LECCE,13:15
2013-05-11,40.36681,18.22035,,1,LECCE,19:15
2013-05-12,40.34801,18.18475,,,LECCE,11:20
2013-05-13,40.34328,18.19378,,1,LECCE,17:40
2013-05-14,40.36245,18.17662,,2,LECCE,08:00
2013-05-15,40.42848,18.21117,,1,LECCE,01:15
2013-05-15,40.345586,18.15821,,,LECCE,21:50
2013-05-16,40.36271,18.17289,,,LECCE,03:30
2013-05-16,40.35681,18.127642,,,LECCE,09:15
2013-05-17,40.45855,18.15312,,2,LECCE,17:10
2013-05-18,40.36593,18.20407,,,LECCE,04:00
2013-05-18,40.33444,18.16726,,,LECCE,09:30
2013-05-18,40.35291,18.18576,,2,LECCE,19:10
2013-05-19,40.34057,18.17475,,1,LECCE,12:15
2013-05-20,40.3297,18.16357,,,LECCE,09:40
2013-05-20,40.35189,18.21089,,1,LECCE,12:45
2013-05-20,40.33681,18.17056,,1,LECCE,17:45
2013-05-20,40.34551,18.17444,,1,LECCE,21:05
2013-05-21,40.3428,18.17679,,1,LECCE,11:00
2013-05-21,40.35371,18.18565,,,LECCE,14:10
2013-05-22,40.35715,18.19965,,,LECCE,07:45
2013-05-22,40.35069,18.16345,,,LECCE,12:20
2013-05-24,40.34195,18.17188,,,LECCE,13:20
2013-05-25,40.36117,18.17034,,,LECCE,17:40
2013-05-25,40.34496,18.14687,,,LECCE,20:45
2013-05-26,40.36003,18.18335,,,LECCE,03:45
2013-05-27,40.35971,18.19439,,2,LECCE,10:15
2013-05-27,40.35581,18.19466,,2,LECCE,11:45
2013-05-28,40.35986,18.16907,,1,LECCE,08:50
2013-05-28,40.36372,18.1678,,2,LECCE,14:46
2013-05-28,40.34736,18.16085,,1,LECCE,21:00
2013-05-29,40.37448,18.13987,,1,LECCE,08:30
2013-05-31,40.36492,18.07268,,1,LECCE,16:20
2013-06-01,40.3562,18.17643,,2,LECCE,12:30
2013-06-03,40.35654,18.15336,,1,LECCE,07:50
2013-06-03,40.34788,18.17762,,1,LECCE,11:40
2013-06-03,40.35487,18.19123,,1,LECCE,13:52
2013-06-03,40.34567,18.1519,,1,LECCE,14:30
2013-06-04,40.34321,18.17318,,1,LECCE,19:45
2013-06-05,40.35233,18.19026,,,LECCE,13:00
2013-06-06,40.36468,18.15912,,,LECCE,07:40
2013-06-06,40.35968,18.17208,,1,LECCE,08:45
2013-06-06,40.32965,18.16356,,,LECCE,13:50
2013-06-06,40.36109,18.17997,,1,LECCE,16:55
2013-06-06,40.35784,18.19156,,1,LECCE,19:30
2013-06-07,40.36244,18.16747,,1,LECCE,03:30
2013-06-07,40.34806,18.15968,,1,LECCE,18:45
2013-06-08,40.37161,18.17752,,1,LECCE,09:50
2013-06-09,40.34788,18.17761,,1,LECCE,18:07
2013-06-10,40.35817,18.1548,,,LECCE,00:30
2013-06-10,40.34735,18.18655,,2,LECCE,02:40
2013-06-10,40.33133,18.16623,,1,LECCE,12:25
2013-06-11,40.34749,18.20418,,1,LECCE,16:45
2013-06-11,40.36686,18.1769,,,LECCE,19:00
2013-06-13,40.34862,18.17361,,1,LECCE,08:50
2013-06-13,40.35565,18.18997,,,LECCE,15:10
2013-06-14,40.35991,18.17321,,1,LECCE,09:45
2013-06-14,40.35248,18.18641,,,LECCE,12:10
2013-06-14,40.36058,18.19302,,,LECCE,18:00
2013-06-15,40.34822,18.18872,,4,LECCE,15:20
2013-06-15,40.35917,18.18277,,1,LECCE,18:45
2013-06-15,40.3609,18.19295,,1,LECCE,23:30
2013-06-16,40.36581,18.2,,2,LECCE,17:15
2013-06-16,40.35351,18.16515,,2,LECCE,21:05
2013-06-17,40.36005,18.18159,,,LECCE,09:05
2013-06-17,40.35703,18.16446,,1,LECCE,09:40
2013-06-17,40.35728,18.18654,,2,LECCE,16:25
2013-06-18,40.36047,18.17495,,3,LECCE,12:00
2013-06-18,40.35431,18.16561,,2,LECCE,14:30
2013-06-18,40.36213,18.17205,,1,LECCE,14:50
2013-06-18,40.34268,18.17556,,2,LECCE,16:25
2013-06-19,40.35256,18.19056,,1,LECCE,07:40
2013-06-19,40.35158,18.15135,,,LECCE,15:00
2013-06-19,40.34727,18.17377,,1,LECCE,19:30
2013-06-20,40.359025,18.183007,,,LECCE,18:00
2013-06-21,40.37411,18.17308,,,LECCE,18:20
2013-06-21,40.35008,18.17564,,1,LECCE,23:15
2013-06-22,40.36437,18.18507,,1,LECCE,00:00
2013-06-22,40.3484,18.15938,,1,LECCE,08:30
2013-06-22,40.33487,18.19318,,,LECCE,12:25
2013-06-22,40.358882,18.183287,,,LECCE,18:20
2013-06-24,40.34757,18.18594,,2,LECCE,07:50
2013-06-24,40.3573,18.17396,,,LECCE,11:20
2013-06-26,40.33679,18.17052,,1,LECCE,20:40
2013-06-27,40.35744,18.18383,,3,LECCE,09:25
2013-06-28,40.3692,18.15716,,,LECCE,09:10
2013-06-28,40.3691,18.15716,,1,LECCE,15:15
2013-06-28,40.3779,18.2604,,1,LECCE,20:15
2013-06-28,40.426188,18.239576,,,LECCE,23:45
2013-06-29,40.33832,18.15659,,1,LECCE,11:15
2013-06-30,40.36565,18.19984,,1,LECCE,02:00
2013-06-30,40.34431,18.18007,,1,LECCE,05:00
2013-07-01,40.34308,18.16974,,1,LECCE,17:50
2013-07-02,40.3611,18.17994,,1,LECCE,15:05
2013-07-02,40.34515,18.17713,,,LECCE,16:05
2013-07-03,40.34974,18.19172,,1,LECCE,08:55
2013-07-03,40.34672,18.18398,,2,LECCE,10:50
2013-07-03,40.35126,18.17666,,,LECCE,17:15
2013-07-04,40.352716,18.155344,,,LECCE,13:00
2013-07-04,40.35183,18.17404,,,LECCE,19:00
2013-07-04,40.3518,18.17426,,1,LECCE,19:30
2013-07-05,40.343561,18.172952,,,LECCE,16:50
2013-07-05,40.36002,18.17172,,1,LECCE,18:20
2013-07-06,40.356054,18.175647,,,LECCE,12:15
2013-07-06,40.37827,18.26189,,2,LECCE,14:10
2013-07-07,40.3526,18.17858,,1,LECCE,19:20
2013-07-08,40.34689,18.1529,,1,LECCE,11:20
2013-07-09,40.34098,18.17635,,1,LECCE,19:10
2013-07-09,40.35524,18.17631,,2,LECCE,20:00
2013-07-09,40.36807,18.17694,,1,LECCE,20:25
2013-07-10,40.34552,18.1488,,3,LECCE,13:25
2013-07-12,40.35295,18.1831,,1,LECCE,20:20
2013-07-13,40.35418,18.17394,,2,LECCE,10:45
2013-07-14,40.3475,18.17149,,,LECCE,01:20
2013-07-14,40.3524,18.17654,,1,LECCE,15:10
2013-07-14,40.36386,18.1874,,1,LECCE,19:50
2013-07-15,40.36273,18.17519,,,LECCE,10:00
2013-07-15,40.36012,18.17808,,,LECCE,10:55
2013-07-16,40.35594,18.19595,,1,LECCE,09:00
2013-07-16,40.34144,18.16205,,,LECCE,10:50
2013-07-16,40.36368,18.1678,,2,LECCE,20:00
2013-07-16,40.35394,18.14727,,,LECCE,20:54
2013-07-17,40.36077,18.18671,,,LECCE,10:15
2013-07-17,40.34615,18.19021,,1,LECCE,14:37
2013-07-18,40.34519,18.19364,,1,LECCE,09:15
2013-07-18,40.46636,18.19152,,1,LECCE,13:00
2013-07-19,40.34589,18.16068,,,LECCE,04:30
2013-07-19,40.35287,18.18575,,2,LECCE,12:40
2013-07-20,40.35062,18.16342,,2,LECCE,08:00
2013-07-20,40.46764,18.19191,,2,LECCE,11:00
2013-07-20,40.35939,18.19391,,,LECCE,12:40
2013-07-20,40.37552,18.21404,,2,LECCE,19:40
2013-07-21,40.45849,18.15315,,3,LECCE,12:20
2013-07-21,40.41258,18.20239,,,LECCE,14:00
2013-07-21,40.33375,18.15419,,,LECCE,20:50
2013-07-24,40.34787,18.17762,,1,LECCE,08:00
2013-07-24,40.3619,18.17849,,1,LECCE,17:15
2013-07-25,40.34783,18.18508,,1,LECCE,10:00
2013-07-26,40.36246,18.19407,,,LECCE,08:20
2013-07-26,40.35618,18.17469,,1,LECCE,17:30
2013-07-27,40.36314,18.1862,,2,LECCE,11:30
2013-07-27,40.34909,18.17404,,3,LECCE,18:10
2013-07-28,40.3782,18.26122,,,LECCE,18:30
2013-07-29,40.36023,18.17146,,1,LECCE,07:50
2013-07-29,40.32966,18.16354,,,LECCE,18:10
2013-07-30,40.35514,18.18508,,,LECCE,12:30
2013-07-30,40.3457,18.17735,,,LECCE,14:10
2013-07-31,40.37027,18.17774,,2,LECCE,17:45
2013-08-01,40.35175,18.2675,,2,LECCE,06:35
2013-08-01,40.33951,18.15723,,2,LECCE,16:45
2013-08-02,40.3453,18.15906,,3,LECCE,02:50
2013-08-03,40.35379,18.19221,,1,LECCE,00:30
2013-08-03,40.34901,18.16627,,1,LECCE,09:40
2013-08-03,40.36222,18.18936,,,LECCE,17:40
2013-08-03,40.358712,18.191581,,,LECCE,20:00
2013-08-04,40.41258,18.20242,,6,LECCE,18:30
2013-08-05,40.35437,18.17664,,,LECCE,10:15
2013-08-05,40.36266,18.15806,,1,LECCE,16:00
2013-08-06,40.3383,18.17747,,,LECCE,02:00
2013-08-06,40.35969,18.20261,,,LECCE,20:30
2013-08-07,40.41265,18.20243,,1,LECCE,10:40
2013-08-07,40.35431,18.16559,,1,LECCE,12:20
2013-08-07,40.36621,18.20567,,2,LECCE,19:45
2013-08-09,40.36413,18.18124,,,LECCE,10:00
2013-08-10,40.35591,18.17612,,1,LECCE,18:00
2013-08-11,40.41263,18.20243,,,LECCE,00:20
2013-08-12,40.36182,18.17881,1,,LECCE,18:18
2013-08-12,40.35124,18.18063,,3,LECCE,20:50
2013-08-13,40.34877,18.16218,,1,LECCE,10:20
2013-08-13,40.36182,18.18561,,2,LECCE,10:50
2013-08-13,40.3472,18.20568,,,LECCE,17:55
2013-08-14,40.35329,18.16499,,,LECCE,10:00
2013-08-15,40.35344,18.16507,,1,LECCE,10:00
2013-08-15,40.34398,18.15782,,2,LECCE,17:00
2013-08-16,40.3479,18.18478,,2,LECCE,14:25
2013-08-19,40.33121,18.14684,,1,LECCE,13:10
2013-08-20,40.34871,18.1623,,1,LECCE,09:49
2013-08-21,40.35181,18.17684,,1,LECCE,19:00
2013-08-21,40.36575,18.16555,,1,LECCE,20:00
2013-08-22,40.35273,18.17984,,1,LECCE,09:03
2013-08-22,40.35284,18.17648,,1,LECCE,11:20
2013-08-22,40.34896,18.17281,,1,LECCE,20:00
2013-08-24,40.35645,18.16711,,1,LECCE,09:30
2013-08-24,40.360987,18.170198,,,LECCE,20:15
2013-08-25,40.37375,18.17924,,,LECCE,14:00
2013-08-26,40.35152,18.17502,,2,LECCE,08:20
2013-08-28,40.36097,18.19056,,1,LECCE,10:45
2013-08-30,40.34526,18.19665,,1,LECCE,12:56
2013-08-30,40.35343,18.18575,,1,LECCE,16:20
2013-09-02,40.36279,18.17518,,1,LECCE,15:25
2013-09-03,40.35566,18.18973,,1,LECCE,15:15
2013-09-03,40.34859,18.17364,,1,LECCE,18:40
2013-09-04,40.35061,18.16354,,1,LECCE,09:50
2013-09-04,40.3682,18.18345,,1,LECCE,11:48
2013-09-04,40.35463,18.17995,,,LECCE,12:30
2013-09-04,40.35987,18.19231,,,LECCE,16:50
2013-09-04,40.33818,18.12012,,,LECCE,20:45
2013-09-06,40.34634,18.18347,,2,LECCE,10:00
2013-09-06,40.34209,18.18379,,2,LECCE,17:00
2013-09-07,40.36958,18.14601,,1,LECCE,19:00
2013-09-07,40.38743,18.30407,,,LECCE,19:30
2013-09-08,40.3521,18.17669,,2,LECCE,03:10
2013-09-09,40.35255,18.24273,1,1,LECCE,10:46
2013-09-09,40.34869,18.16233,,1,LECCE,16:59
2013-09-10,40.34381,18.18385,,2,LECCE,11:30
2013-09-10,40.36577,18.18675,,1,LECCE,21:25
2013-09-11,40.36656,18.2007,,1,LECCE,08:45
2013-09-11,40.34665,18.1885,,2,LECCE,17:40
2013-09-12,40.3688,18.17214,,2,LECCE,07:45
2013-09-12,40.34524,18.19331,,1,LECCE,12:40
2013-09-12,40.34726,18.17961,,1,LECCE,13:00
2013-09-12,40.35403,18.18222,,1,LECCE,13:15
2013-09-12,40.33711,18.18829,,,LECCE,16:30
2013-09-12,40.36002,18.18148,,1,LECCE,17:45
2013-09-13,40.34409,18.17255,,1,LECCE,11:10
2013-09-13,40.35242,18.1777,,,LECCE,16:40
2013-09-14,40.35069,18.16345,,,LECCE,12:30
2013-09-14,40.36107,18.18442,,,LECCE,17:00
2013-09-15,40.35513,18.18508,,1,LECCE,10:00
2013-09-16,40.35661,18.17441,,1,LECCE,17:35
2013-09-17,40.35041,18.1757,,1,LECCE,10:25
2013-09-19,40.34068,18.17089,,1,LECCE,12:00
2013-09-21,40.34635,18.18237,,,LECCE,04:00
2013-09-21,40.35886,18.17549,,1,LECCE,09:00
2013-09-21,40.35064,18.16357,,2,LECCE,13:20
2013-09-23,40.34772,18.16002,,1,LECCE,05:07
2013-09-23,40.34933,18.17319,,,LECCE,08:50
2013-09-23,40.35719,18.17799,,1,LECCE,16:05
2013-09-23,40.33829,18.15901,,,LECCE,18:00
2013-09-24,40.34904,18.17413,,1,LECCE,14:10
2013-09-24,40.34927,18.17348,,1,LECCE,15:30
2013-09-24,40.34526,18.17534,,,LECCE,17:15
2013-09-25,40.35231,18.15857,,2,LECCE,20:15
2013-09-25,40.35631,18.1614,,1,LECCE,22:15
2013-09-26,40.33963,18.16501,,1,LECCE,12:20
2013-09-27,40.35848,18.16277,,1,LECCE,12:04
2013-09-27,40.34754,18.17359,,2,LECCE,16:15
2013-10-01,40.33656,18.17036,,1,LECCE,08:40
2013-10-01,40.3597,18.15944,,,LECCE,11:30
2013-10-01,40.34906,18.1663,,1,LECCE,20:45
2013-10-02,40.36004,18.16952,,1,LECCE,08:10
2013-10-02,40.35517,18.1851,,1,LECCE,10:30
2013-10-02,40.34612,18.18326,,2,LECCE,19:50
2013-10-04,40.34308,18.17789,,2,LECCE,17:10
2013-10-05,40.35061,18.16361,,2,LECCE,11:00
2013-10-06,40.357,18.16449,,1,LECCE,02:15
2013-10-07,40.34599,18.18313,,,LECCE,17:20
2013-10-07,40.38991,18.2908,,,LECCE,23:50
2013-10-08,40.35822,18.15478,,1,LECCE,09:45
2013-10-08,40.3624,18.16912,,,LECCE,10:45
2013-10-09,40.36494,18.14354,,,LECCE,19:00
2013-10-10,40.34394,18.17508,,1,LECCE,18:40
2013-10-11,40.352337,18.174085,,,LECCE,10:15
2013-10-11,40.35666,18.17371,,,LECCE,12:00
2013-10-12,40.352849,18.184485,,,LECCE,10:00
2013-10-13,40.3505,18.20413,,3,LECCE,15:40
