denominazione,tipo,indirizzo,lat,lon,valore,tipo_bene,descrizione,autore,datazione
Auditorium Comunale,Edificio polifunzionale,Via Mazzini 30,45.45471,9.18207,3400000,non vincolato,Strumentale,autore non documentato,sec. XX
Villa Comunale (sede mostre),Edificio storico,Viale dei Tigli 1,45.4724,9.17815,5800000,monumentale,Storico-artistico,autore non documentato,sec. XX
Centro Sportivo Comunale,Impianto sportivo,Via dello Sport 1,45.45265,9.17993,4500000,non vincolato,Sportivo,autore non documentato,sec. XX
Palazzetto dello Sport,Impianto sportivo,Via Volta 30,45.46751,9.19847,5200000,non vincolato,Sportivo,autore non documentato,sec. XX
Piscina Comunale,Impianto sportivo,Viale Europa 50,45.4695,9.17258,3800000,non vincolato,Sportivo,autore non documentato,sec. XX
"Campo da Calcio ""Stadio Comunale""",Impianto sportivo,Via dello Stadio 2,45.45772,9.17463,2200000,non vincolato,Sportivo,autore non documentato,sec. XX
Palestra ITIS Volta,Impianto sportivo,Via Volta 15,45.466,9.18463,1450000,non vincolato,Sportivo,autore non documentato,sec. XX
Cimitero Comunale Capoluogo,Cimitero,Via del Cimitero 1,45.47174,9.19274,1800000,non vincolato,Cimiteriale,autore non documentato,sec. XX
Cimitero Frazione Nord,Cimitero,Via Cimitero Nord,45.46667,9.17686,450000,non vincolato,Cimiteriale,autore non documentato,sec. XX
Cimitero Frazione Sud,Cimitero,Via Cimitero Sud,45.46548,9.17263,380000,non vincolato,Cimiteriale,autore non documentato,sec. XX
Torre Civica medievale,Edificio storico,Piazza Vecchia 1,45.45222,9.20433,2100000,monumentale,Storico-artistico,autore non documentato,sec. XX
Casa Natale del poeta Tal dei Tali,Edificio storico,Via del Poeta 15,45.45443,9.17004,850000,monumentale,Storico-artistico,autore non documentato,sec. XX
Palazzo dei Notari,Edificio storico,Piazza San Marco 5,45.47068,9.17742,3200000,monumentale,Storico-artistico,autore non documentato,sec. XX
Chiostro di San Francesco,Edificio storico,Via San Francesco 1,45.45823,9.19299,1450000,monumentale,Storico-artistico,autore non documentato,sec. XX
Ex Macello Comunale,Edificio polifunzionale,Via dei Mille 22,45.4774,9.17093,1800000,non vincolato,Disponibile,autore non documentato,sec. XX
Casa colonica San Lorenzo,Edificio storico,Loc. San Lorenzo,45.46868,9.1714,350000,non vincolato,Disponibile,autore non documentato,sec. XX
Box auto Piazza Mercato n.1-4,Box auto,Piazza Mercato,45.47245,9.18462,60000,non vincolato,In locazione,autore non documentato,sec. XX
Box auto Piazza Mercato n.5-8,Box auto,Piazza Mercato,45.45177,9.18568,60000,non vincolato,In locazione,autore non documentato,sec. XX
Negozio sfitto Via Cavour 18,Ufficio,Via Cavour 18,45.46872,9.17543,280000,non vincolato,Disponibile,autore non documentato,sec. XX
Appartamento ex custode scuola,Edificio polifunzionale,Via Verdi 18,45.46063,9.20122,220000,non vincolato,Disponibile,autore non documentato,sec. XX
Area verde Parco Civico,Terreno,Via del Parco,45.47379,9.19911,2500000,non vincolato,Disponibile,autore non documentato,sec. XX
Terreno agricolo Loc. Cascine,Terreno,Loc. Cascine,45.46333,9.1982,180000,non vincolato,Disponibile,autore non documentato,sec. XX
Area edificabile zona PEEP,Terreno,Via PEEP 1,45.45367,9.18534,850000,non vincolato,Disponibile,autore non documentato,sec. XX
Terreno boschivo Monte Sole,Terreno,Loc. Monte Sole,45.45855,9.17528,95000,non vincolato,Disponibile,autore non documentato,sec. XX
