data,lat,lon,decessi,feriti,localita,ora,numero_incidenti,mese
2020-08-21,45.46197,9.20689,0,4,Centro storico,16:45,1,08
2020-09-16,45.46978,9.19997,0,0,Via dei Mille,12:00,1,09
2020-01-21,45.47058,9.17808,0,2,Incrocio Via Mazzini/Via Verdi,04:45,1,01
2020-07-19,45.45238,9.20462,0,2,Piazza San Marco,00:15,1,07
2020-01-10,45.46927,9.17669,2,2,Viale Europa,04:15,1,01
2020-01-22,45.47138,9.18158,0,1,Via Roma,05:00,1,01
2020-07-10,45.46526,9.19719,0,0,Incrocio Via Mazzini/Via Verdi,02:30,1,07
2020-10-15,45.46838,9.20154,0,1,Tangenziale Nord,04:15,1,10
2020-08-14,45.45904,9.18178,0,0,Strada Provinciale 5,19:30,1,08
2020-06-27,45.47465,9.19289,0,1,Via XX Settembre,10:00,1,06
2020-12-18,45.47206,9.18801,0,3,Centro storico,05:15,1,12
2020-04-14,45.46542,9.19071,0,1,Rotatoria Stazione,15:00,1,04
2020-05-11,45.47465,9.20357,0,1,Viale Europa,10:15,1,05
2020-05-01,45.46157,9.20268,0,3,Via Roma,15:45,1,05
2020-02-08,45.46841,9.20616,0,0,Viale dei Tigli,13:30,1,02
2020-02-17,45.45817,9.2008,0,2,Incrocio Via Mazzini/Via Verdi,22:45,1,02
2020-10-14,45.47235,9.19628,0,1,Tangenziale Nord,13:30,1,10
2020-04-26,45.47401,9.19405,0,0,Via dei Mille,20:00,1,04
2020-04-04,45.46141,9.17909,0,0,Via Garibaldi,23:00,1,04
2020-06-24,45.45614,9.18836,0,1,Via Garibaldi,15:45,1,06
2020-03-15,45.46531,9.17623,0,0,Via Manzoni,00:30,1,03
2020-09-25,45.46748,9.18801,0,0,Rotatoria Stazione,08:45,1,09
2020-12-18,45.47303,9.19277,0,2,Tangenziale Nord,10:30,1,12
2020-06-21,45.45533,9.19127,0,2,Via Roma,18:15,1,06
2020-11-01,45.46544,9.17206,0,0,Via XX Settembre,05:00,1,11
2020-07-07,45.46173,9.19001,0,0,Strada Provinciale 5,16:15,1,07
2020-02-06,45.45804,9.18132,0,2,Viale Europa,08:45,1,02
2020-05-17,45.4525,9.18533,0,0,Via Roma,09:00,1,05
2020-12-19,45.45763,9.19297,0,1,Via dei Mille,06:00,1,12
2020-02-07,45.46035,9.19385,1,1,Incrocio Via Mazzini/Via Verdi,01:30,1,02
2020-02-16,45.46906,9.18095,0,0,Viale Europa,12:45,1,02
2020-12-23,45.4668,9.1732,0,1,Via XX Settembre,19:00,1,12
2020-01-15,45.46214,9.17904,0,2,Viale dei Tigli,04:30,1,01
2020-07-07,45.4564,9.18037,0,2,Via Roma,18:00,1,07
2020-08-24,45.47029,9.20642,0,0,Via Garibaldi,23:15,1,08
2020-05-04,45.46126,9.1736,0,2,Piazza San Marco,20:15,1,05
2020-11-09,45.4678,9.18044,0,1,Via Roma,10:15,1,11
2020-10-22,45.47547,9.20289,0,1,Via Roma,16:30,1,10
2020-12-17,45.45482,9.18568,0,0,Tangenziale Nord,23:30,1,12
2020-03-08,45.47353,9.18505,0,1,Strada Provinciale 5,00:15,1,03
2021-08-09,45.46421,9.19885,0,2,Viale Europa,01:45,1,08
2021-11-24,45.46953,9.19298,0,0,Viale dei Tigli,01:00,1,11
2021-01-06,45.45943,9.20721,0,1,Centro storico,11:30,1,01
2021-02-22,45.46647,9.17462,0,1,Via Garibaldi,16:15,1,02
2021-12-22,45.47207,9.20218,0,2,Viale dei Tigli,16:00,1,12
2021-02-27,45.4589,9.1794,0,0,Via Garibaldi,20:00,1,02
2021-01-28,45.46616,9.18736,0,0,Via Roma,10:30,1,01
2021-09-03,45.46651,9.18566,0,2,Strada Provinciale 5,05:00,1,09
2021-10-03,45.46488,9.18851,0,2,Tangenziale Nord,00:00,1,10
2021-09-16,45.45606,9.18237,0,1,Tangenziale Nord,13:15,1,09
2021-09-09,45.47347,9.19128,0,0,Centro storico,07:45,1,09
2021-07-04,45.47611,9.1844,0,1,Via XX Settembre,12:45,1,07
2021-05-10,45.45453,9.17661,0,1,Incrocio Via Mazzini/Via Verdi,01:45,1,05
2021-10-27,45.45296,9.19151,0,3,Rotatoria Stazione,13:15,1,10
2021-09-10,45.46582,9.19558,0,1,Viale Europa,18:00,1,09
2021-04-19,45.45532,9.19269,0,2,Via Roma,12:00,1,04
2021-04-01,45.47233,9.19386,0,0,Via Garibaldi,14:00,1,04
2021-08-14,45.4734,9.1789,0,0,Viale Europa,10:00,1,08
2021-11-07,45.45309,9.18194,0,0,Viale Europa,02:45,1,11
2021-05-11,45.46051,9.19957,0,1,Strada Provinciale 5,02:30,1,05
2021-03-11,45.46982,9.18171,1,1,Centro storico,21:15,1,03
2021-03-13,45.47239,9.20535,0,2,Via Roma,03:00,1,03
2021-05-22,45.47497,9.18968,0,2,Via Manzoni,00:30,1,05
2021-12-12,45.46805,9.18533,0,2,Rotatoria Stazione,21:15,1,12
2021-08-26,45.46658,9.1922,0,1,Viale Europa,15:30,1,08
2021-02-09,45.46427,9.19128,0,4,Incrocio Via Mazzini/Via Verdi,03:15,1,02
2021-02-18,45.46281,9.20359,0,2,Via XX Settembre,07:15,1,02
2021-08-12,45.47497,9.18333,0,1,Strada Provinciale 5,21:45,1,08
2021-05-12,45.47509,9.18232,0,0,Tangenziale Nord,04:00,1,05
2021-08-22,45.47328,9.18606,0,0,Strada Provinciale 5,02:30,1,08
2021-03-25,45.45869,9.18297,0,0,Viale Europa,10:45,1,03
2021-11-25,45.46944,9.19106,0,3,Via XX Settembre,05:30,1,11
2021-12-14,45.46011,9.17383,0,3,Incrocio Via Mazzini/Via Verdi,06:00,1,12
2021-02-23,45.45791,9.18723,0,0,Viale dei Tigli,11:15,1,02
2021-08-18,45.46326,9.19435,0,1,Piazza San Marco,16:00,1,08
2021-01-27,45.46312,9.18976,0,1,Via Manzoni,13:30,1,01
2021-06-12,45.46254,9.20525,0,0,Strada Provinciale 5,14:00,1,06
2021-12-24,45.46128,9.17411,0,0,Via Manzoni,23:30,1,12
2021-12-25,45.46804,9.17856,0,0,Viale Europa,14:45,1,12
2021-12-21,45.47012,9.19908,0,2,Via Roma,07:00,1,12
2021-03-24,45.46488,9.17937,0,0,Via dei Mille,02:00,1,03
2021-06-11,45.46436,9.18633,0,0,Via Garibaldi,15:30,1,06
2021-07-11,45.47029,9.19383,0,3,Via XX Settembre,10:30,1,07
2021-02-26,45.45559,9.17428,0,2,Centro storico,11:30,1,02
2021-02-13,45.47591,9.19625,0,0,Via Roma,06:30,1,02
2021-11-12,45.46605,9.17472,0,0,Via Garibaldi,09:45,1,11
2021-11-25,45.45906,9.19913,0,1,Viale Europa,01:45,1,11
2021-10-07,45.45676,9.19927,0,1,Strada Provinciale 5,05:15,1,10
2021-03-27,45.46875,9.17417,0,1,Viale Europa,12:00,1,03
2021-07-28,45.47164,9.19317,0,1,Via dei Mille,04:15,1,07
2021-03-02,45.46716,9.20777,0,1,Incrocio Via Mazzini/Via Verdi,16:30,1,03
2021-11-04,45.47358,9.19116,0,1,Via Roma,01:45,1,11
2021-03-06,45.47596,9.19779,0,1,Tangenziale Nord,07:15,1,03
2021-03-03,45.45758,9.19848,0,2,Incrocio Via Mazzini/Via Verdi,03:15,1,03
2021-07-28,45.45943,9.17256,0,2,Rotatoria Stazione,20:45,1,07
2021-10-17,45.45614,9.18401,0,2,Piazza San Marco,18:00,1,10
2021-11-06,45.46737,9.18694,0,2,Piazza San Marco,19:45,1,11
2021-06-27,45.45784,9.19697,0,0,Incrocio Via Mazzini/Via Verdi,02:45,1,06
2021-08-18,45.47189,9.1758,0,1,Viale dei Tigli,17:45,1,08
2021-05-25,45.47125,9.18158,1,1,Strada Provinciale 5,10:15,1,05
2021-05-10,45.45379,9.20242,0,0,Rotatoria Stazione,00:45,1,05
2021-03-13,45.46621,9.18513,0,3,Rotatoria Stazione,13:30,1,03
2021-12-28,45.45454,9.1732,0,0,Viale Europa,18:45,1,12
2021-07-05,45.47611,9.18558,0,0,Via Manzoni,08:45,1,07
2021-05-07,45.45704,9.18262,0,1,Via dei Mille,19:45,1,05
2021-06-04,45.46853,9.18621,0,1,Incrocio Via Mazzini/Via Verdi,13:45,1,06
2021-09-15,45.46175,9.19481,0,0,Tangenziale Nord,08:45,1,09
2021-03-16,45.45571,9.18354,0,0,Incrocio Via Mazzini/Via Verdi,12:30,1,03
2021-02-11,45.45911,9.17903,0,1,Rotatoria Stazione,03:00,1,02
2021-02-12,45.47169,9.18201,0,1,Tangenziale Nord,20:45,1,02
2021-08-15,45.45754,9.17601,0,0,Via dei Mille,12:15,1,08
2021-05-10,45.45365,9.17848,0,1,Via Manzoni,12:30,1,05
2021-06-15,45.46608,9.20608,1,2,Via Roma,00:30,1,06
2021-09-20,45.46012,9.20036,0,0,Viale dei Tigli,13:15,1,09
2021-05-19,45.47451,9.20508,0,0,Viale dei Tigli,17:30,1,05
2021-12-10,45.47187,9.18798,0,0,Strada Provinciale 5,17:45,1,12
2021-01-05,45.46046,9.19102,0,1,Via Roma,22:45,1,01
2021-04-28,45.4725,9.20527,0,1,Piazza San Marco,02:45,1,04
2021-05-25,45.46011,9.20351,0,0,Strada Provinciale 5,14:45,1,05
2021-12-08,45.46102,9.19979,0,0,Via XX Settembre,17:15,1,12
2021-10-28,45.46674,9.1864,0,0,Via Roma,18:15,1,10
2021-04-13,45.46571,9.17484,0,2,Centro storico,21:15,1,04
2021-11-27,45.45564,9.1841,0,3,Incrocio Via Mazzini/Via Verdi,19:15,1,11
2021-11-06,45.46014,9.18109,0,1,Via XX Settembre,00:00,1,11
2021-12-04,45.46882,9.19544,0,2,Rotatoria Stazione,07:15,1,12
2021-06-02,45.468,9.2044,2,2,Via Garibaldi,05:15,1,06
2021-07-08,45.46229,9.17366,0,1,Centro storico,07:30,1,07
2021-07-28,45.46633,9.18631,0,4,Centro storico,07:00,1,07
2021-07-18,45.47321,9.18666,0,0,Viale dei Tigli,05:30,1,07
2021-09-13,45.45287,9.18454,0,0,Rotatoria Stazione,04:15,1,09
2021-04-19,45.46385,9.17269,0,2,Strada Provinciale 5,22:45,1,04
2021-04-15,45.4703,9.1999,0,1,Via Roma,18:45,1,04
2021-09-06,45.45871,9.17891,0,1,Viale Europa,13:30,1,09
2021-07-06,45.45711,9.18495,0,0,Centro storico,13:00,1,07
2021-01-27,45.47542,9.20076,0,1,Incrocio Via Mazzini/Via Verdi,16:15,1,01
2021-03-25,45.45649,9.20755,0,0,Via Garibaldi,02:45,1,03
2021-10-06,45.45779,9.19353,0,0,Tangenziale Nord,10:30,1,10
2021-09-07,45.46117,9.17838,0,0,Piazza San Marco,18:15,1,09
2021-02-13,45.4709,9.19259,0,0,Via XX Settembre,16:15,1,02
2021-05-24,45.4677,9.19264,0,1,Rotatoria Stazione,11:00,1,05
2022-04-22,45.46843,9.18178,0,1,Incrocio Via Mazzini/Via Verdi,06:30,1,04
2022-09-28,45.45396,9.18069,0,2,Centro storico,18:45,1,09
2022-09-03,45.47418,9.20605,0,0,Centro storico,00:00,1,09
2022-10-16,45.4651,9.17959,0,0,Viale dei Tigli,07:45,1,10
2022-03-04,45.45964,9.18463,0,0,Viale dei Tigli,12:00,1,03
2022-05-17,45.47607,9.20137,0,2,Piazza San Marco,17:45,1,05
2022-01-07,45.47435,9.18794,0,0,Strada Provinciale 5,07:15,1,01
2022-12-04,45.45551,9.20755,0,0,Via Garibaldi,09:30,1,12
2022-11-19,45.47387,9.17205,0,1,Strada Provinciale 5,19:45,1,11
2022-02-05,45.4656,9.19696,0,1,Rotatoria Stazione,02:15,1,02
2022-10-06,45.46377,9.18437,0,3,Via dei Mille,22:00,1,10
2022-10-22,45.4655,9.20246,0,2,Incrocio Via Mazzini/Via Verdi,11:30,1,10
2022-05-23,45.47508,9.20419,0,0,Via XX Settembre,14:45,1,05
2022-02-01,45.45335,9.17247,0,2,Tangenziale Nord,19:00,1,02
2022-10-17,45.47253,9.17758,0,0,Via XX Settembre,10:00,1,10
2022-03-07,45.46375,9.18206,0,4,Piazza San Marco,18:30,1,03
2022-01-11,45.46312,9.18491,0,0,Via Garibaldi,05:30,1,01
2022-09-02,45.4586,9.19972,0,0,Centro storico,22:15,1,09
2022-02-02,45.45863,9.1788,0,2,Via Manzoni,03:00,1,02
2022-07-14,45.47059,9.20468,0,1,Viale Europa,10:45,1,07
2022-10-13,45.46769,9.17739,0,0,Viale Europa,14:00,1,10
2022-11-09,45.47156,9.18712,0,2,Tangenziale Nord,09:45,1,11
2022-10-10,45.46246,9.18558,0,0,Piazza San Marco,05:15,1,10
2022-05-23,45.47026,9.20623,0,1,Via dei Mille,09:45,1,05
2022-06-13,45.47244,9.17483,0,0,Via Roma,19:30,1,06
2022-06-14,45.45351,9.18825,0,1,Via XX Settembre,20:30,1,06
2022-12-03,45.45778,9.17571,0,1,Via Garibaldi,16:45,1,12
2022-12-11,45.47436,9.20499,0,0,Rotatoria Stazione,02:15,1,12
2022-06-13,45.45535,9.17538,0,0,Viale dei Tigli,21:15,1,06
2022-02-06,45.45639,9.20499,0,0,Centro storico,07:00,1,02
2022-11-05,45.45838,9.19555,0,2,Strada Provinciale 5,16:45,1,11
2022-02-11,45.47434,9.18155,0,3,Via XX Settembre,02:15,1,02
2022-05-09,45.46795,9.20752,0,2,Tangenziale Nord,21:00,1,05
2022-05-07,45.46902,9.1891,1,1,Via dei Mille,12:45,1,05
2022-02-02,45.46946,9.18989,0,0,Via XX Settembre,03:00,1,02
2022-03-26,45.45911,9.20018,0,1,Tangenziale Nord,16:30,1,03
2022-05-13,45.46658,9.20562,0,3,Via Manzoni,14:30,1,05
2022-06-28,45.45946,9.19452,0,1,Via Manzoni,09:00,1,06
2022-03-11,45.46291,9.17917,0,3,Via XX Settembre,03:15,1,03
2022-03-09,45.47003,9.20355,0,0,Centro storico,04:30,1,03
2022-08-20,45.46531,9.19548,0,1,Via Manzoni,11:00,1,08
2022-03-06,45.46767,9.19705,0,1,Viale dei Tigli,10:45,1,03
2022-01-08,45.46434,9.18433,0,3,Via Manzoni,14:45,1,01
2022-01-15,45.45589,9.17839,0,1,Rotatoria Stazione,21:30,1,01
2022-03-16,45.45635,9.20014,0,1,Viale dei Tigli,05:45,1,03
2022-05-17,45.46766,9.20792,0,1,Incrocio Via Mazzini/Via Verdi,11:30,1,05
2022-04-27,45.47343,9.17405,1,1,Viale dei Tigli,11:00,1,04
2022-04-03,45.47265,9.20663,0,0,Incrocio Via Mazzini/Via Verdi,08:30,1,04
2022-12-26,45.45256,9.19221,0,0,Via Roma,11:45,1,12
2022-10-10,45.4698,9.17696,0,1,Incrocio Via Mazzini/Via Verdi,13:45,1,10
2022-02-21,45.46568,9.18446,0,1,Via XX Settembre,08:15,1,02
2022-04-08,45.47437,9.1941,0,0,Rotatoria Stazione,20:00,1,04
2022-10-11,45.47422,9.18011,0,1,Incrocio Via Mazzini/Via Verdi,14:15,1,10
2022-07-11,45.4693,9.19458,0,1,Via XX Settembre,09:15,1,07
2022-09-05,45.45665,9.20241,0,0,Via XX Settembre,01:15,1,09
2022-01-20,45.47193,9.20789,0,1,Via Roma,02:45,1,01
2022-08-20,45.47058,9.18669,0,2,Centro storico,11:30,1,08
2022-01-02,45.4535,9.18958,0,0,Via Garibaldi,12:45,1,01
2022-08-18,45.46726,9.18652,0,0,Centro storico,18:30,1,08
2022-06-20,45.46073,9.2072,0,2,Strada Provinciale 5,10:30,1,06
2022-08-23,45.45256,9.20731,0,0,Rotatoria Stazione,11:30,1,08
2022-06-11,45.47284,9.20048,0,1,Via dei Mille,12:30,1,06
2022-12-05,45.4658,9.18606,0,3,Via Garibaldi,07:45,1,12
2022-04-17,45.4594,9.20454,1,3,Viale dei Tigli,17:30,1,04
2022-10-04,45.4675,9.18043,0,0,Rotatoria Stazione,06:30,1,10
2022-03-27,45.46087,9.18748,0,2,Viale dei Tigli,14:45,1,03
2022-06-28,45.46099,9.17273,1,0,Centro storico,01:30,1,06
2022-04-23,45.46947,9.20082,0,3,Tangenziale Nord,04:45,1,04
2022-06-26,45.46205,9.18207,0,4,Incrocio Via Mazzini/Via Verdi,17:15,1,06
2022-04-16,45.45695,9.19857,0,1,Viale Europa,04:30,1,04
2022-01-17,45.47057,9.20739,0,1,Via Manzoni,02:15,1,01
2022-08-13,45.45388,9.2004,0,1,Tangenziale Nord,08:30,1,08
2022-09-10,45.45341,9.19676,0,0,Incrocio Via Mazzini/Via Verdi,13:45,1,09
2022-05-01,45.45531,9.1943,0,0,Rotatoria Stazione,19:00,1,05
2022-03-08,45.47619,9.18398,0,3,Strada Provinciale 5,15:30,1,03
2022-04-07,45.47073,9.18469,2,0,Via Manzoni,14:30,1,04
2022-03-07,45.47349,9.17546,0,1,Viale dei Tigli,11:45,1,03
2022-04-18,45.45363,9.18242,0,0,Tangenziale Nord,09:45,1,04
2022-01-06,45.47142,9.19511,0,2,Centro storico,09:00,1,01
2022-11-01,45.46587,9.17372,0,1,Tangenziale Nord,04:30,1,11
2022-01-28,45.47214,9.1777,0,1,Via dei Mille,20:15,1,01
2022-05-25,45.46584,9.19082,0,1,Tangenziale Nord,19:00,1,05
2022-08-03,45.47111,9.19843,0,4,Tangenziale Nord,08:15,1,08
2022-10-03,45.46115,9.19531,0,1,Strada Provinciale 5,00:30,1,10
2022-12-12,45.45391,9.17834,0,1,Tangenziale Nord,06:45,1,12
2022-04-23,45.45995,9.20618,0,0,Via Garibaldi,14:15,1,04
2022-01-20,45.4625,9.20418,0,0,Via XX Settembre,06:30,1,01
2022-02-22,45.46588,9.17788,0,2,Via dei Mille,18:30,1,02
2022-06-16,45.4585,9.20581,0,1,Rotatoria Stazione,13:30,1,06
2022-04-25,45.45525,9.19721,0,2,Incrocio Via Mazzini/Via Verdi,21:00,1,04
2022-03-24,45.45538,9.19402,0,0,Via Manzoni,02:00,1,03
2022-04-11,45.46631,9.19969,0,1,Via Garibaldi,00:00,1,04
2022-10-16,45.4536,9.19553,0,3,Viale dei Tigli,09:15,1,10
2022-01-10,45.45923,9.19272,0,2,Strada Provinciale 5,00:15,1,01
2022-08-04,45.45347,9.17597,1,1,Via Garibaldi,21:30,1,08
2022-06-04,45.46037,9.1993,0,2,Viale Europa,19:30,1,06
2022-07-12,45.47163,9.17393,0,0,Centro storico,02:15,1,07
2022-12-16,45.46104,9.20288,0,1,Via XX Settembre,19:15,1,12
2022-12-09,45.47497,9.19723,0,1,Centro storico,16:30,1,12
2022-04-22,45.45249,9.17232,0,0,Via Manzoni,22:45,1,04
2022-12-22,45.45488,9.18972,0,0,Via dei Mille,18:15,1,12
2022-12-04,45.45736,9.20499,0,0,Via Manzoni,16:30,1,12
2022-07-02,45.47321,9.20404,0,0,Viale Europa,17:00,1,07
2022-11-26,45.4582,9.20345,0,0,Centro storico,08:15,1,11
2022-03-23,45.45326,9.2073,0,0,Piazza San Marco,22:00,1,03
2022-05-18,45.47442,9.20427,0,1,Tangenziale Nord,16:45,1,05
2022-12-27,45.45393,9.18874,0,3,Tangenziale Nord,11:45,1,12
2022-03-10,45.46354,9.19758,0,1,Centro storico,15:00,1,03
2023-12-07,45.47109,9.19898,2,0,Via dei Mille,18:30,1,12
2023-11-02,45.45857,9.18139,0,4,Via Roma,08:45,1,11
2023-04-19,45.45323,9.20559,0,2,Via Manzoni,21:30,1,04
2023-12-09,45.45939,9.18637,0,1,Strada Provinciale 5,16:45,1,12
2023-12-19,45.45819,9.17788,1,1,Incrocio Via Mazzini/Via Verdi,01:15,1,12
2023-05-04,45.46521,9.20421,0,0,Incrocio Via Mazzini/Via Verdi,22:00,1,05
2023-01-20,45.4706,9.18488,0,1,Rotatoria Stazione,00:45,1,01
2023-09-20,45.46594,9.17674,0,1,Via Roma,12:45,1,09
2023-10-20,45.45238,9.17999,0,0,Via XX Settembre,20:00,1,10
2023-09-02,45.45803,9.19187,0,0,Centro storico,17:45,1,09
2023-10-13,45.47457,9.18016,0,2,Centro storico,05:45,1,10
2023-11-17,45.47533,9.19673,0,1,Via Garibaldi,23:00,1,11
2023-12-10,45.45241,9.20479,0,1,Viale dei Tigli,01:30,1,12
2023-04-25,45.46878,9.17282,0,0,Incrocio Via Mazzini/Via Verdi,10:00,1,04
2023-07-18,45.47223,9.19599,1,2,Incrocio Via Mazzini/Via Verdi,01:00,1,07
2023-07-12,45.45962,9.17835,0,4,Piazza San Marco,14:30,1,07
2023-02-12,45.46987,9.18063,0,1,Via Garibaldi,02:45,1,02
2023-07-17,45.46345,9.17277,0,1,Incrocio Via Mazzini/Via Verdi,17:30,1,07
2023-06-09,45.46921,9.18734,0,2,Viale Europa,19:15,1,06
2023-12-16,45.46035,9.19222,0,1,Via Manzoni,08:15,1,12
2023-12-05,45.47364,9.18692,0,1,Via Garibaldi,05:15,1,12
2023-03-09,45.47037,9.19624,0,0,Via dei Mille,14:30,1,03
2023-04-28,45.4525,9.19282,0,0,Viale dei Tigli,19:30,1,04
2023-09-07,45.4684,9.20742,0,3,Via Garibaldi,10:30,1,09
2023-08-23,45.46147,9.20456,0,0,Via dei Mille,08:30,1,08
2023-12-26,45.45831,9.1919,0,0,Via dei Mille,13:45,1,12
2023-01-15,45.46632,9.19984,0,0,Viale Europa,21:45,1,01
2023-07-08,45.45318,9.20441,0,1,Via Garibaldi,09:15,1,07
2023-04-15,45.45309,9.19494,0,2,Via Manzoni,07:45,1,04
2023-05-25,45.46075,9.17634,0,2,Via Roma,18:45,1,05
2023-12-05,45.46503,9.17571,0,3,Tangenziale Nord,11:30,1,12
2023-09-14,45.47113,9.19506,0,1,Via XX Settembre,02:30,1,09
2023-07-04,45.45889,9.17472,0,0,Centro storico,17:15,1,07
2023-01-22,45.4583,9.19692,0,0,Via Garibaldi,09:00,1,01
2023-02-05,45.47402,9.17656,0,0,Via XX Settembre,02:15,1,02
2023-02-21,45.46992,9.17249,0,1,Via Manzoni,00:45,1,02
2023-07-21,45.46276,9.19622,0,1,Centro storico,20:30,1,07
2023-03-27,45.47581,9.19684,0,0,Via Roma,19:30,1,03
2023-03-08,45.4702,9.20323,0,1,Strada Provinciale 5,04:30,1,03
2023-04-04,45.47609,9.1881,0,0,Strada Provinciale 5,07:30,1,04
2023-04-26,45.47412,9.19941,0,3,Centro storico,06:30,1,04
2023-01-19,45.46898,9.18212,0,0,Via XX Settembre,08:15,1,01
2023-08-18,45.45324,9.17939,0,1,Centro storico,18:30,1,08
2023-03-01,45.47206,9.19426,0,2,Viale Europa,02:15,1,03
2023-01-11,45.46347,9.18783,0,0,Rotatoria Stazione,09:15,1,01
2023-12-13,45.46747,9.19338,0,0,Incrocio Via Mazzini/Via Verdi,05:30,1,12
2023-05-04,45.46876,9.19641,0,0,Via Garibaldi,12:15,1,05
2023-06-26,45.47362,9.18243,0,1,Viale Europa,10:45,1,06
2023-04-19,45.46085,9.18125,0,0,Via XX Settembre,01:00,1,04
2023-08-23,45.46651,9.18255,0,0,Centro storico,10:30,1,08
2023-08-17,45.45586,9.19687,0,0,Via dei Mille,17:00,1,08
2023-07-01,45.46851,9.19571,0,2,Via Roma,21:00,1,07
2023-07-07,45.47399,9.2008,0,1,Piazza San Marco,00:30,1,07
2023-01-24,45.46803,9.18734,0,0,Piazza San Marco,16:15,1,01
2023-03-20,45.46016,9.17287,0,0,Incrocio Via Mazzini/Via Verdi,00:30,1,03
2023-10-24,45.45923,9.18324,0,1,Via XX Settembre,11:15,1,10
2023-02-22,45.46001,9.1927,0,0,Piazza San Marco,20:15,1,02
2023-02-11,45.4657,9.18425,0,1,Tangenziale Nord,20:15,1,02
2023-09-22,45.46375,9.18953,0,0,Via XX Settembre,03:15,1,09
2023-04-21,45.45861,9.19306,0,2,Incrocio Via Mazzini/Via Verdi,04:15,1,04
2023-11-26,45.47309,9.1898,0,3,Via dei Mille,22:30,1,11
2023-11-17,45.46991,9.17758,0,1,Incrocio Via Mazzini/Via Verdi,16:45,1,11
2023-10-03,45.45383,9.17887,0,0,Incrocio Via Mazzini/Via Verdi,09:15,1,10
2023-11-28,45.45712,9.18401,0,1,Via Manzoni,10:45,1,11
2023-05-02,45.4564,9.17229,0,3,Via Roma,19:00,1,05
