nome,data_inizio,data_fine,categoria,luogo,lat,lon,organizzatore
Rassegna d'Estate,2024-04-12,,Musica,Biblioteca Civica,45.465,9.1875,Comune (Assessorato Cultura)
Esibizione d'Arte Moderna,2024-10-23,2024-10-25,Cinema,Biblioteca Civica,45.465,9.1875,Diocesi
Spettacolo Autunnale,2024-11-14,2024-11-15,Teatro,Piazza San Marco,45.4625,9.188,Pro Loco
Esibizione della Tradizione,2024-12-03,2024-12-06,Mostra,Piazza San Marco,45.4625,9.188,Pro Loco
Rassegna d'Arte Moderna,2024-07-04,2024-07-06,Festival,Parco Civico,45.467,9.192,Comune (Assessorato Cultura)
Esibizione Natalizio,2024-05-13,2024-05-15,Cinema,Parco Civico,45.467,9.192,Diocesi
Spettacolo Internazionale,2024-12-09,2024-12-11,Sport,Centro Sportivo,45.4685,9.183,Diocesi
Esibizione di Beneficenza,2024-10-11,,Teatro,Parco Civico,45.467,9.192,Comune (Assessorato Cultura)
Rassegna di Primavera,2024-10-12,,Conferenza,Centro Sportivo,45.4685,9.183,Banda Musicale
Rassegna d'Arte Moderna,2025-09-20,2025-09-21,Conferenza,Teatro Sociale,45.4632,9.1905,CONI Locale
Festival di Primavera,2025-01-27,2025-01-28,Religioso,Museo Civico,45.4628,9.1888,Banda Musicale
Festival d'Arte Moderna,2025-04-24,2025-04-26,Conferenza,Piazza San Marco,45.4625,9.188,Gruppo Teatrale Locale
Concerto Natalizio,2024-03-05,2024-03-06,Religioso,Palazzo Comunale,45.4642,9.19,Gruppo Teatrale Locale
Concerto dei Giovani,2024-10-16,2024-10-19,Conferenza,Auditorium Comunale,45.464,9.1895,Coro Civico
Rassegna Natalizio,2024-11-02,2024-11-04,Sport,Villa Comunale,45.466,9.194,Coro Civico
Festival Autunnale,2024-03-16,,Teatro,Auditorium Comunale,45.464,9.1895,Pro Loco
Spettacolo della Tradizione,2025-10-18,2025-10-19,Festival,Parco Civico,45.467,9.192,Diocesi
Concerto Internazionale,2024-07-14,,Teatro,Museo Civico,45.4628,9.1888,Gruppo Teatrale Locale
