data,tipo,codice_stato_cup,data_scadenza,via,civico,oggetto_contratto,stazione_appaltante
2019-03-21,CILA,In istruttoria,,Viale Europa,28,Pratica edilizia,Comune
2019-07-08,PdC,In istruttoria,,Piazza San Marco,133,Pratica edilizia,Comune
2019-08-02,CILA,In istruttoria,,Via Garibaldi,117,Pratica edilizia,Comune
2019-03-26,SCIA-Alternativa,Rigettata,2019-09-16,Via Vittorio Emanuele,82,Pratica edilizia,Comune
2019-08-20,CIL,In istruttoria,,Via San Francesco,141,Pratica edilizia,Comune
2019-08-06,SCIA-Alternativa,Efficace,2019-10-28,Viale Europa,71,Pratica edilizia,Comune
2019-09-16,CILA,Efficace,2019-12-20,Via Verdi,70,Pratica edilizia,Comune
2019-06-11,SCIA,Acquisita,2019-10-12,Piazza San Marco,40,Pratica edilizia,Comune
2019-12-07,SCIA,Efficace,2020-05-20,Corso Italia,107,Pratica edilizia,Comune
2019-01-07,CIL,Efficace,,Via Vittorio Emanuele,6,Pratica edilizia,Comune
2019-10-13,SCIA-Alternativa,Efficace,,Via Manzoni,100,Pratica edilizia,Comune
2019-07-18,CILA,Efficace,2019-12-04,Corso Italia,8,Pratica edilizia,Comune
2019-07-11,CIL,Rigettata,2019-12-05,Via San Francesco,33,Pratica edilizia,Comune
2019-10-18,CILA,Efficace,2019-11-11,Via Garibaldi,110,Pratica edilizia,Comune
2019-03-28,SCIA-Alternativa,Acquisita,2019-07-28,Via Dante,55,Pratica edilizia,Comune
2019-08-11,CILA,In istruttoria,,Via San Francesco,98,Pratica edilizia,Comune
2019-05-25,CIL,Efficace,2019-10-20,Via Roma,139,Pratica edilizia,Comune
2019-01-12,CILA,Rigettata,2019-02-09,Via dei Mille,8,Pratica edilizia,Comune
2019-04-07,CILA,Acquisita,2019-05-26,Corso Italia,30,Pratica edilizia,Comune
2019-10-07,SCIA-Alternativa,Rigettata,2020-02-04,Via Mazzini,30,Pratica edilizia,Comune
2019-03-10,SCIA,Acquisita,2019-06-20,Via Vittorio Emanuele,97,Pratica edilizia,Comune
2019-07-23,CILA,Efficace,2020-02-02,Via Verdi,27,Pratica edilizia,Comune
2019-12-25,SCIA,In istruttoria,,Via Cavour,31,Pratica edilizia,Comune
2019-10-26,CILA,Efficace,2020-02-23,Via Garibaldi,130,Pratica edilizia,Comune
2019-11-11,CILA,In istruttoria,,Via XX Settembre,126,Pratica edilizia,Comune
2019-02-14,CILA,Rigettata,,Corso Italia,40,Pratica edilizia,Comune
2019-07-06,SCIA,Acquisita,2019-12-18,Via dei Mille,124,Pratica edilizia,Comune
2019-08-14,SCIA,Efficace,,Viale Europa,23,Pratica edilizia,Comune
2019-05-15,CILA,In istruttoria,,Corso Italia,146,Pratica edilizia,Comune
2019-10-22,CIL,Efficace,2020-02-08,Via Mazzini,125,Pratica edilizia,Comune
2020-06-26,SCIA,Efficace,2020-12-25,Piazza San Marco,71,Pratica edilizia,Comune
2020-09-01,CILA,Efficace,2021-01-08,Corso Italia,143,Pratica edilizia,Comune
2020-04-23,SCIA-Alternativa,Rigettata,2020-09-12,Via dei Mille,5,Pratica edilizia,Comune
2020-02-10,CILA,Efficace,2020-05-19,Via Cavour,149,Pratica edilizia,Comune
2020-06-16,CILA,Efficace,,Via della Repubblica,85,Pratica edilizia,Comune
2020-06-23,SCIA-Alternativa,Efficace,2020-09-13,Via Garibaldi,50,Pratica edilizia,Comune
2020-06-04,PdC,Acquisita,2020-11-02,Via Manzoni,135,Pratica edilizia,Comune
2020-10-10,SCIA,In istruttoria,,Via Verdi,76,Pratica edilizia,Comune
2020-04-12,PdC,Efficace,2020-09-23,Via Mazzini,71,Pratica edilizia,Comune
2020-01-02,SCIA,Rigettata,,Via Cavour,126,Pratica edilizia,Comune
2020-02-28,CILA,Acquisita,2020-07-25,Corso Italia,88,Pratica edilizia,Comune
2020-03-02,SCIA,In istruttoria,,Corso Italia,30,Pratica edilizia,Comune
2020-02-13,SCIA-Alternativa,Efficace,2020-03-13,Via Mazzini,39,Pratica edilizia,Comune
2020-10-10,SCIA,Acquisita,2021-02-19,Via Vittorio Emanuele,58,Pratica edilizia,Comune
2020-09-13,SCIA-Alternativa,Efficace,2021-03-10,Via XX Settembre,79,Pratica edilizia,Comune
2020-10-20,CILA,Acquisita,,Via Garibaldi,54,Pratica edilizia,Comune
2020-11-07,SCIA,Rigettata,2021-01-27,Via Mazzini,142,Pratica edilizia,Comune
2020-02-06,CILA,Efficace,2020-08-05,Corso Italia,75,Pratica edilizia,Comune
2020-01-08,SCIA,Rigettata,2020-05-27,Via Garibaldi,60,Pratica edilizia,Comune
2020-05-26,CILA,Efficace,2020-08-14,Via Cavour,39,Pratica edilizia,Comune
2020-05-27,PdC,Efficace,2020-09-08,Via Vittorio Emanuele,146,Pratica edilizia,Comune
2020-05-15,SCIA,Efficace,2020-09-21,Via Manzoni,129,Pratica edilizia,Comune
2020-09-16,SCIA-Alternativa,Efficace,2021-02-01,Piazza San Marco,83,Pratica edilizia,Comune
2020-10-09,CILA,Efficace,2021-04-03,Via Vittorio Emanuele,6,Pratica edilizia,Comune
2020-11-27,SCIA,Acquisita,2021-02-02,Corso Italia,133,Pratica edilizia,Comune
2020-11-15,SCIA,Acquisita,,Via XX Settembre,126,Pratica edilizia,Comune
2020-02-16,CILA,Efficace,2020-04-01,Viale Europa,42,Pratica edilizia,Comune
2020-06-14,SCIA-Alternativa,Efficace,2020-10-19,Viale Europa,141,Pratica edilizia,Comune
2020-01-15,SCIA,Efficace,2020-03-03,Via dei Mille,104,Pratica edilizia,Comune
2020-09-27,CILA,Rigettata,,Corso Italia,106,Pratica edilizia,Comune
2020-01-07,CILA,Acquisita,2020-07-14,Corso Italia,14,Pratica edilizia,Comune
2020-04-09,PdC,Efficace,2020-09-08,Via Garibaldi,8,Pratica edilizia,Comune
2020-11-20,CILA,Rigettata,2021-05-08,Via Roma,142,Pratica edilizia,Comune
2020-07-03,CILA,In istruttoria,,Via San Francesco,30,Pratica edilizia,Comune
2020-08-04,PdC,Efficace,,Via Manzoni,131,Pratica edilizia,Comune
2020-12-09,CIL,In istruttoria,,Corso Italia,121,Pratica edilizia,Comune
2020-04-15,PdC,Efficace,2020-10-15,Via della Repubblica,35,Pratica edilizia,Comune
2020-02-09,CIL,Efficace,,Via della Repubblica,69,Pratica edilizia,Comune
2020-01-10,SCIA,In istruttoria,,Via Vittorio Emanuele,149,Pratica edilizia,Comune
2020-11-16,PdC,Efficace,2021-03-07,Via Dante,142,Pratica edilizia,Comune
2020-09-13,SCIA-Alternativa,Efficace,,Piazza San Marco,62,Pratica edilizia,Comune
2021-07-08,CIL,Efficace,2021-12-04,Piazza San Marco,98,Pratica edilizia,Comune
2021-07-22,PdC,Efficace,,Via Mazzini,129,Pratica edilizia,Comune
2021-10-11,SCIA,In istruttoria,,Viale Europa,113,Pratica edilizia,Comune
2021-02-17,SCIA-Alternativa,Efficace,2021-06-24,Viale Europa,40,Pratica edilizia,Comune
2021-02-16,SCIA,Efficace,2021-06-20,Via Cavour,21,Pratica edilizia,Comune
2021-06-28,CIL,Efficace,2021-11-27,Viale Europa,139,Pratica edilizia,Comune
2021-01-20,SCIA,Acquisita,2021-04-24,Via Verdi,24,Pratica edilizia,Comune
2021-07-04,SCIA,Efficace,2021-10-11,Via San Francesco,8,Pratica edilizia,Comune
2021-01-11,CILA,Efficace,2021-05-24,Via Mazzini,63,Pratica edilizia,Comune
2021-09-14,PdC,Acquisita,2022-03-17,Viale Europa,98,Pratica edilizia,Comune
2021-10-22,CILA,Efficace,,Via Mazzini,60,Pratica edilizia,Comune
2021-08-21,SCIA,Efficace,2021-09-10,Via San Francesco,120,Pratica edilizia,Comune
2021-05-22,PdC,Efficace,2021-09-13,Via Vittorio Emanuele,77,Pratica edilizia,Comune
2021-11-14,SCIA,Efficace,2022-01-23,Via XX Settembre,124,Pratica edilizia,Comune
2021-02-08,CIL,Acquisita,2021-05-14,Piazza San Marco,76,Pratica edilizia,Comune
2021-01-27,CIL,Efficace,2021-02-26,Via San Francesco,128,Pratica edilizia,Comune
2021-05-25,CILA,Acquisita,2021-08-12,Via Cavour,49,Pratica edilizia,Comune
2021-10-09,PdC,Rigettata,2022-04-16,Via Cavour,11,Pratica edilizia,Comune
2021-05-26,SCIA-Alternativa,Efficace,2021-07-18,Via Garibaldi,76,Pratica edilizia,Comune
2021-06-24,CIL,Acquisita,2021-12-09,Via San Francesco,94,Pratica edilizia,Comune
2021-09-17,SCIA,In istruttoria,,Via Mazzini,66,Pratica edilizia,Comune
2021-08-26,SCIA,Rigettata,,Via dei Mille,30,Pratica edilizia,Comune
2021-08-03,PdC,In istruttoria,,Via Verdi,102,Pratica edilizia,Comune
2021-09-12,SCIA,In istruttoria,,Via XX Settembre,4,Pratica edilizia,Comune
2021-05-18,SCIA,Efficace,2021-08-16,Via Vittorio Emanuele,98,Pratica edilizia,Comune
2021-11-12,SCIA,Rigettata,2021-12-05,Via Vittorio Emanuele,144,Pratica edilizia,Comune
2021-06-20,CILA,Rigettata,2021-11-13,Via San Francesco,78,Pratica edilizia,Comune
2021-11-14,SCIA,Acquisita,2021-12-10,Via Manzoni,127,Pratica edilizia,Comune
2021-02-04,CILA,Acquisita,2021-06-23,Via Dante,139,Pratica edilizia,Comune
2021-07-19,PdC,Efficace,2021-12-19,Via Vittorio Emanuele,105,Pratica edilizia,Comune
2021-05-02,CILA,Acquisita,2021-07-21,Viale Europa,93,Pratica edilizia,Comune
2021-02-22,CILA,Acquisita,,Via Cavour,92,Pratica edilizia,Comune
2021-01-13,SCIA,Acquisita,,Viale Europa,117,Pratica edilizia,Comune
2021-02-22,CILA,Rigettata,2021-03-14,Via Roma,86,Pratica edilizia,Comune
2021-04-05,CILA,Efficace,2021-09-21,Via Verdi,56,Pratica edilizia,Comune
2021-04-11,PdC,In istruttoria,,Via San Francesco,1,Pratica edilizia,Comune
2021-05-28,PdC,Acquisita,2021-08-03,Via Garibaldi,7,Pratica edilizia,Comune
2021-03-01,CILA,In istruttoria,,Via dei Mille,61,Pratica edilizia,Comune
2021-10-11,CILA,Acquisita,2021-12-02,Piazza San Marco,108,Pratica edilizia,Comune
2021-09-04,SCIA,Efficace,2021-12-27,Via della Repubblica,28,Pratica edilizia,Comune
2021-08-17,CILA,Acquisita,2022-01-25,Via Manzoni,118,Pratica edilizia,Comune
2021-11-01,CILA,Efficace,2022-03-13,Via Cavour,28,Pratica edilizia,Comune
2021-08-23,SCIA-Alternativa,Efficace,,Via Dante,38,Pratica edilizia,Comune
2021-02-05,SCIA,Acquisita,2021-07-20,Piazza San Marco,84,Pratica edilizia,Comune
2021-07-20,SCIA,Efficace,2021-12-05,Via Garibaldi,30,Pratica edilizia,Comune
2021-11-21,CILA,Efficace,2022-02-10,Via XX Settembre,87,Pratica edilizia,Comune
2021-08-13,CIL,Rigettata,2021-12-25,Via Dante,66,Pratica edilizia,Comune
2021-06-05,SCIA-Alternativa,Efficace,2021-07-13,Via Garibaldi,111,Pratica edilizia,Comune
2021-02-24,CILA,In istruttoria,,Via Mazzini,143,Pratica edilizia,Comune
2021-01-19,CILA,Rigettata,2021-05-12,Viale Europa,109,Pratica edilizia,Comune
2021-12-02,SCIA,Acquisita,2022-01-15,Via Vittorio Emanuele,130,Pratica edilizia,Comune
2021-04-05,SCIA-Alternativa,Acquisita,2021-07-25,Viale Europa,143,Pratica edilizia,Comune
2021-06-04,SCIA,Acquisita,2021-10-16,Viale Europa,144,Pratica edilizia,Comune
2022-10-22,CILA,Acquisita,,Viale Europa,69,Pratica edilizia,Comune
2022-01-06,SCIA,Rigettata,2022-04-23,Via Dante,2,Pratica edilizia,Comune
2022-03-28,PdC,Acquisita,2022-05-04,Via Mazzini,8,Pratica edilizia,Comune
2022-02-24,CILA,Efficace,2022-06-14,Via Mazzini,95,Pratica edilizia,Comune
2022-05-24,CILA,In istruttoria,,Via Vittorio Emanuele,22,Pratica edilizia,Comune
2022-01-05,PdC,In istruttoria,,Via Vittorio Emanuele,13,Pratica edilizia,Comune
2022-11-03,SCIA,Efficace,2023-04-02,Via Vittorio Emanuele,114,Pratica edilizia,Comune
2022-07-09,CILA,In istruttoria,,Via della Repubblica,30,Pratica edilizia,Comune
2022-06-14,SCIA,Efficace,2022-12-12,Corso Italia,135,Pratica edilizia,Comune
2022-11-10,CILA,Acquisita,2023-05-10,Via Roma,2,Pratica edilizia,Comune
2022-04-10,CILA,In istruttoria,,Via Mazzini,66,Pratica edilizia,Comune
2022-05-11,SCIA,Efficace,2022-09-24,Via Mazzini,34,Pratica edilizia,Comune
2022-07-18,CILA,Acquisita,2022-11-11,Via Garibaldi,102,Pratica edilizia,Comune
2022-12-02,CIL,Efficace,2023-01-08,Viale Europa,81,Pratica edilizia,Comune
2022-10-14,CIL,Rigettata,2023-01-19,Via Garibaldi,104,Pratica edilizia,Comune
2022-01-11,PdC,In istruttoria,,Via Vittorio Emanuele,118,Pratica edilizia,Comune
2022-12-12,SCIA,Efficace,2023-03-05,Via XX Settembre,103,Pratica edilizia,Comune
2022-09-03,CIL,In istruttoria,,Via Manzoni,87,Pratica edilizia,Comune
2022-04-11,PdC,Efficace,2022-05-27,Via della Repubblica,131,Pratica edilizia,Comune
2022-04-25,CILA,Efficace,2022-11-09,Viale Europa,38,Pratica edilizia,Comune
2022-04-04,PdC,Efficace,2022-10-05,Via Mazzini,20,Pratica edilizia,Comune
2022-03-25,SCIA-Alternativa,Efficace,2022-09-20,Corso Italia,145,Pratica edilizia,Comune
2022-11-21,CILA,In istruttoria,,Via Cavour,81,Pratica edilizia,Comune
2022-03-15,SCIA,Efficace,2022-06-23,Via dei Mille,71,Pratica edilizia,Comune
2022-10-02,CILA,Acquisita,2023-02-23,Corso Italia,10,Pratica edilizia,Comune
2022-01-12,SCIA,Efficace,2022-02-22,Via Vittorio Emanuele,130,Pratica edilizia,Comune
2022-07-15,CILA,Efficace,,Via Vittorio Emanuele,49,Pratica edilizia,Comune
2022-06-20,SCIA-Alternativa,Acquisita,2022-07-22,Corso Italia,27,Pratica edilizia,Comune
2022-06-23,SCIA,Acquisita,2022-07-20,Via Verdi,113,Pratica edilizia,Comune
2022-08-17,PdC,Efficace,2022-11-20,Via XX Settembre,105,Pratica edilizia,Comune
2022-06-22,CILA,In istruttoria,,Via Cavour,86,Pratica edilizia,Comune
2022-02-11,SCIA,Acquisita,2022-05-14,Via Manzoni,39,Pratica edilizia,Comune
2022-06-03,PdC,Efficace,2022-10-06,Via Mazzini,22,Pratica edilizia,Comune
2022-05-18,CIL,Rigettata,2022-07-09,Via Cavour,135,Pratica edilizia,Comune
2022-02-21,CIL,Acquisita,2022-06-16,Via Manzoni,47,Pratica edilizia,Comune
2022-04-11,SCIA-Alternativa,Acquisita,2022-06-05,Via Mazzini,20,Pratica edilizia,Comune
2022-05-28,SCIA,Acquisita,2022-11-09,Via Roma,87,Pratica edilizia,Comune
2022-10-05,CIL,Acquisita,2023-04-11,Via dei Mille,43,Pratica edilizia,Comune
2022-12-15,CILA,Efficace,2023-03-06,Corso Italia,73,Pratica edilizia,Comune
2022-12-26,SCIA-Alternativa,Acquisita,2023-04-08,Via dei Mille,121,Pratica edilizia,Comune
2022-04-12,SCIA-Alternativa,Efficace,2022-08-12,Via della Repubblica,136,Pratica edilizia,Comune
2022-07-06,CILA,In istruttoria,,Via Vittorio Emanuele,36,Pratica edilizia,Comune
2022-05-02,SCIA-Alternativa,In istruttoria,,Via Dante,142,Pratica edilizia,Comune
2022-02-23,SCIA,Efficace,2022-04-23,Via Manzoni,116,Pratica edilizia,Comune
2022-09-05,CIL,Efficace,,Via Verdi,116,Pratica edilizia,Comune
2022-06-01,CIL,Efficace,2022-09-27,Via Verdi,99,Pratica edilizia,Comune
2022-02-12,CILA,Efficace,2022-03-24,Viale Europa,86,Pratica edilizia,Comune
2022-03-05,CILA,Efficace,,Corso Italia,36,Pratica edilizia,Comune
2022-12-16,SCIA-Alternativa,Acquisita,2023-01-23,Via Roma,66,Pratica edilizia,Comune
2022-04-27,PdC,Acquisita,,Via Vittorio Emanuele,136,Pratica edilizia,Comune
2022-07-04,SCIA,Acquisita,2022-08-03,Via Verdi,108,Pratica edilizia,Comune
2022-11-26,SCIA-Alternativa,Efficace,2023-04-28,Via Vittorio Emanuele,138,Pratica edilizia,Comune
2022-01-21,CILA,Rigettata,2022-06-05,Via Roma,91,Pratica edilizia,Comune
2022-04-19,CIL,Acquisita,2022-05-27,Via della Repubblica,93,Pratica edilizia,Comune
2023-09-18,CILA,Efficace,,Via Roma,100,Pratica edilizia,Comune
2023-06-09,CILA,Efficace,2023-09-28,Via Verdi,27,Pratica edilizia,Comune
2023-10-24,CILA,Acquisita,2024-04-10,Via Dante,45,Pratica edilizia,Comune
2023-11-15,SCIA-Alternativa,Rigettata,2024-01-08,Via Garibaldi,118,Pratica edilizia,Comune
2023-01-10,CILA,Efficace,2023-02-07,Via Dante,80,Pratica edilizia,Comune
2023-09-13,SCIA-Alternativa,Efficace,2024-03-25,Via Verdi,74,Pratica edilizia,Comune
2023-06-28,CILA,In istruttoria,,Via Cavour,85,Pratica edilizia,Comune
2023-05-04,CILA,Efficace,,Piazza San Marco,113,Pratica edilizia,Comune
2023-07-11,PdC,Efficace,2023-11-08,Via San Francesco,133,Pratica edilizia,Comune
2023-05-26,SCIA,Rigettata,2023-10-11,Via Vittorio Emanuele,47,Pratica edilizia,Comune
2023-09-10,CILA,Efficace,2023-12-16,Via Manzoni,115,Pratica edilizia,Comune
2023-10-23,CIL,Acquisita,2024-02-15,Corso Italia,11,Pratica edilizia,Comune
2023-12-28,CILA,Acquisita,,Via Manzoni,15,Pratica edilizia,Comune
2023-02-22,CIL,Efficace,2023-04-21,Via Roma,37,Pratica edilizia,Comune
2023-10-22,SCIA-Alternativa,Efficace,2024-01-13,Via dei Mille,94,Pratica edilizia,Comune
2023-06-13,CILA,Acquisita,2023-11-03,Via Dante,96,Pratica edilizia,Comune
2023-08-25,SCIA,Acquisita,2023-12-21,Via XX Settembre,81,Pratica edilizia,Comune
2023-11-09,CILA,Efficace,2024-01-15,Corso Italia,133,Pratica edilizia,Comune
2023-07-18,SCIA,Efficace,2023-12-07,Via Verdi,74,Pratica edilizia,Comune
2023-12-16,CILA,Efficace,2024-01-21,Corso Italia,45,Pratica edilizia,Comune
2023-12-15,SCIA,In istruttoria,,Via Cavour,82,Pratica edilizia,Comune
2023-11-12,SCIA,Acquisita,2024-02-19,Viale Europa,41,Pratica edilizia,Comune
2023-12-23,PdC,In istruttoria,,Via Dante,131,Pratica edilizia,Comune
2023-04-04,CILA,In istruttoria,,Via Mazzini,61,Pratica edilizia,Comune
2023-08-01,CILA,Acquisita,2023-12-23,Via dei Mille,142,Pratica edilizia,Comune
2023-03-20,SCIA,Efficace,2023-08-17,Via della Repubblica,106,Pratica edilizia,Comune
2023-07-27,SCIA,Acquisita,,Via Cavour,19,Pratica edilizia,Comune
2023-08-15,CILA,Acquisita,,Via dei Mille,142,Pratica edilizia,Comune
2023-11-19,PdC,In istruttoria,,Via Mazzini,111,Pratica edilizia,Comune
2023-09-28,CILA,In istruttoria,,Via Garibaldi,133,Pratica edilizia,Comune
2023-03-10,PdC,Acquisita,2023-05-26,Via Dante,133,Pratica edilizia,Comune
2023-05-28,SCIA,Efficace,2023-11-16,Via Manzoni,33,Pratica edilizia,Comune
2023-11-10,SCIA,Acquisita,2024-05-08,Via Vittorio Emanuele,40,Pratica edilizia,Comune
2023-03-22,CILA,In istruttoria,,Via San Francesco,145,Pratica edilizia,Comune
2023-01-27,CILA,Efficace,2023-08-10,Via dei Mille,148,Pratica edilizia,Comune
2023-05-21,CILA,In istruttoria,,Via Vittorio Emanuele,107,Pratica edilizia,Comune
2023-10-21,CILA,Efficace,,Via della Repubblica,75,Pratica edilizia,Comune
2024-05-16,CILA,In istruttoria,,Via dei Mille,104,Pratica edilizia,Comune
2024-05-15,SCIA,Rigettata,2024-10-02,Via XX Settembre,124,Pratica edilizia,Comune
2024-08-07,CILA,Acquisita,2024-11-19,Piazza San Marco,89,Pratica edilizia,Comune
2024-07-05,CILA,Acquisita,2024-10-17,Via Verdi,120,Pratica edilizia,Comune
2024-02-09,SCIA-Alternativa,Acquisita,2024-03-08,Via Manzoni,99,Pratica edilizia,Comune
2024-10-14,CILA,In istruttoria,,Via San Francesco,41,Pratica edilizia,Comune
2024-06-19,CILA,Acquisita,2024-11-21,Via della Repubblica,120,Pratica edilizia,Comune
2024-08-10,SCIA-Alternativa,Efficace,2024-12-13,Via della Repubblica,118,Pratica edilizia,Comune
